Protocol, N, L, Time (ns), Q, P, G
3, 16, 128, 11054819, 40819, 286614716089414858294835417986958181329, 247232332685180312576469812655055160691
3, 32, 128, 11916952, 2481512959, 170838506791052865579196274308579677971, 39408565032615807562563491847472740507
3, 48, 128, 12261170, 259860349012573, 217416589542210873904154612594478372191, 137145456611808902646319720420865499162
3, 64, 128, 12187003, 14037194644769612021, 334026342318361992260608996806975843431, 24543546756830166723245282832613381415
3, 80, 128, 11866067, 1064459627500757080547057, 206161222990060683864836275918928584337, 133116154111009287029020051016634486829
3, 96, 128, 12029819, 41720488989095860874012897447, 281426326550148418780452690306180499271, 41487537377999542340128703827667413600
3, 112, 128, 7151651, 4839930838706127553488118877077309, 255693546208844718650777320275994234471, 138864642053432550152787042778067698516
3, 16, 256, 6545768, 50599, 87029027504541511374270552839825496190773245781977538577132186160612046339623, 34139000063604060445599556501719474423860727899050813882046849372814282020221
3, 32, 256, 7615504, 2213751227, 106471543149152332019469337957892513687317074591553028824287960392791321229819, 1876440177562123165057688452668514100025864400894273204176710167507976829659
3, 48, 256, 7481755, 170808543567323, 60293610315612758714427388583360798733103258553784129190801583753434787237341, 60169372741955716825432163951331383029036254944247385730102840972132192599264
3, 64, 256, 8043472, 13425815296381044341, 109268726450566956766359182657477021720798022258709637032894997780497311373421, 104341044958809356099123723761547107374709150752422513482914188619328395792745
3, 80, 256, 7988629, 791243006939521111582669, 67999484711668681193380357678599319931054788542147469696518201687554759618747, 43182261097246049794948982564716123159737708697192741559869713894252780589491
3, 96, 256, 7988368, 51621410161311161052916525819, 110578979724570870705384909267897599863553207907712192001048649829453285297747, 4700688876521462077069990882086058443242453217718633161258489591020318311737
3, 112, 256, 9885708, 3195751775258680524552676947992087, 91337144700041991498151619585815134167280948351552131412580132298091479837321, 43558547046748774407254846909831092376422028581372163589366820163261939579168
3, 128, 256, 9548261, 330185472643093745443668225241136845273, 89763373868319929509437338318459995135833140883381940039044265783371001534159, 20288022901500396567419130636731320463488858125376548645632968435645670495087
3, 144, 256, 9792947, 14834210055862626664582920226299843462870151, 63455677491510036383434923558549612334091368549730942827638076358381554680257, 19128617631255112243272610681339119249759047467839692620352120496936052824662
3, 160, 256, 10025708, 827584168157063949474052262338328368230313113659, 91216764198146724358830228103847739155591622481201309196334551578338488163337, 44944399524397903455252981721568570573578992606581365515696813845546724569495
3, 176, 256, 11066903, 80227326165634997053455632260194243740111649085193453, 77211789734276365369373163108850572531531182909208938459066508439940951953013, 14521937103059214553439044868263804741206339574267310474998059785683184794907
3, 192, 256, 11558516, 6107168989160289803663037068065493290438868186339318772911, 58916408433700000939168456107407639790921584350518906089655462912278471151421, 48349214958852208951458237523113917937332603526907192613994652916302435271424
3, 208, 256, 11169403, 402339761581246380974352018633764177878703686987887366717796877, 86359338694304327576058607283884272989906107264697663689034465520219711950879, 36007785361951623981364963720478643963539878120664672224912567325958906112785
