N, L, Time (ns), Q, P, G
16, 128, 870727, 47303, 193624459101919529946867939672659558353, 117120274018017720316464187041178228425
32, 128, 1240674, 3580908557, 227231188318192535621724376249528766549, 169647211258390981940476888266859439033
48, 128, 1067967, 198592884154453, 189203009343245399300324542585107309707, 176084101284710309828213710069438041366
64, 128, 1131455, 10207896769201501763, 245008466452974223707398099964195560189, 79371695995169519009750113565348026479
80, 128, 1211143, 776722181824414190878979, 195048741251581419536017200174667135043, 135470015128811502880270684706398853463
96, 128, 1204997, 42234722337636858473747494027, 209844925737781176010823668526817975773, 133149713718236800060421297319946673380
112, 128, 1428174, 3999472775482473644044846324632809, 300656366424119473717427277607946783767, 172257183467282469298425466861334917361
16, 256, 2733066, 59263, 104065800308946482934473480325526800440817931761664203581618764962319616930333, 14288128282185468589403872887436359598528052884896738016750070514097851256122
32, 256, 3326919, 2416367969, 74493824702586440021147861308738787670712046155315143297093612251288039287891, 20094747795128067877291027770036531618774977976800810586291017177060968924527
48, 256, 3186346, 252471017260507, 99743784259455091201160233143135142371417682581368406451235661266270579527061, 68369866454749658536048641534356865057040579044663525587188889905967800901935
64, 256, 3188013, 15878396886227402581, 100870395198762693372560615642363054653187666126914164406001699531236643660371, 100103672577290848009911746361418466665829333622063327385781060120627858539122
80, 256, 3559471, 1105469705419717714101511, 71056404965349417105912746228013248995477270618708119885452575991273279358253, 53204964751395889889688318992733917168390941144694997338644301581046085319263
96, 256, 3572283, 47966246561587004995067356429, 75770010950666484427624233952248641250657530900932362566029172940226178258807, 62340913202639103373911681672198393867359280110750773768912151959109378125369
112, 256, 3973949, 3071653500782900238963975007904251, 84173931877481185944825184787478438983670936749152680164566628778493840106027, 58059834221397527168134347495904308859662334514790134528502028451644235553399
128, 256, 3964000, 184588449871211338858660831012490942501, 89535008544514175426388938504416345294973335882585358308923592882724105831267, 77265576712415889009067128237291832355556531058606528549228262708591569129249
144, 256, 4338375, 18279891292805937867867706243735232724635233, 76151795649621290901042949654908334089968601887525502450970284089938920481247, 41507525668658281096392057625776236437218376300837414898632801936005041864554
160, 256, 4162022, 1362127330479442292915779049847168817046844716147, 77726737041138634226650827452416723632207182793768288653084768533011702747907, 70993342023593473688137071092986010252066297564616041637906020860343789377737
176, 256, 4746291, 53699987482858580509327402839499505234506963059701149, 110900934967404626385089839732530575383383688556334362664576500229397551368849, 18666454572026219321184249882782980779264043067031683824112005637203911085941
192, 256, 4740144, 4572957008313328684540648840868415916671785783304358022987, 86926431431924997892053773814090536289906168618881835954959978220516549381437, 21240209345960187532883921885645334887970269071917354501218176895454643097910
208, 256, 5153321, 404809117685581691603284126637427559114805419457204337263934283, 74389869165883101268597489461691591946138776196709694594324093660251523472249, 38660402002391732320521699797455955091533058768655859406655395277763763279469
224, 256, 5210352, 23105132657696604247392772679893295843591963961522893672813154602513, 79145778738811199744635503589450507172381952073335429081849698792361429104963, 14267142324980929201193655959820493360027241203906140181128995905901335937306
240, 256, 5514153, 1015979430606636246554779465208993792807940990833053598574261056575481449, 69984727097907531207679428681456328423782207212544064084189398621145464132917, 64650820821698589651969523075747745493786856965507438759331893263601317142664
16, 384, 6224725, 47951, 33904551917466251298131846528109718557133649368650785566645032792709558343830617212128280354544955373122657206422239, 26187834763416330885176612876803447237562540958479979223126254077179519056402961745956154950034917957581949776614315
32, 384, 7005348, 3751005059, 28540769570004184758504942883323965360419044590231219989817104561906758234058743084865299401993318667478368569914813, 12600758326804269591179266473990087227873083905638504122554190666142115515531758156517018675636343460533480467325744
48, 384, 7276024, 239920095014819, 32175434543483891928441641876320296685635030493161101997024099519229755227879854361873216040449964518369234266602463, 8070854710738862521596990750859848274275000475991032212186954448414494039505471039358176588932209448195643228808528
64, 384, 6893369, 14230468688156215777, 26890653514905162118231875234930740371681732673264870873423746292541688009953868742691045775910533301032725602874059, 15371361510465762020454957487026038260999731293314551046077674670391915103653195674689603226568707506669112571817094
80, 384, 8740812, 970609257087574800423107, 25460144880122756345635061376067164103868451520703789222602589678981690540854148497628800583793928906815533468063719, 10557400757830842520217841526778038906893246392811218920231156869763867350169883921990646136310109644581509104754919
96, 384, 7590607, 78272519366661782147264151121, 22721811273843314265148394307733902126909352818257216454499326337265989982901749337511705085911543223032548213765371, 7288158433902603741738198972648959840988640842666023427169024283118944047654053386782419133163116222455625414868421
112, 384, 8797531, 3827018765515725850752970652532383, 24119945116636203695613940772124947956533185017187800942019159776557263985497137293217795283916181080603814066618793, 13631813292011060998598983102606862339174395354294426793729706787692255600563594378077072318215448394994042857024635
128, 384, 8346438, 283076522518981854854457075572315521567, 22202539378578282556294379684332317154030402387754009756571153234110576855834011721089977056348029340169127980239287, 13584515891006904899432100397688655873833308747042368695736778593543783789758627367724989099233720819326707729050120
144, 384, 9461488, 18278922264400041146518886435514101127091711, 28595628391553301484648364151673780666320110681308249474912519696291055436720757114704616553298109545146474736046909, 7448653944135764128665860205479190611939193171277695278303531238094491920690063715718200102091146492241932273052914
