N, L, Time (ns), Q, P, G
160, 384, 9072843, 1453249727946938210636007554981287599401478491531, 28532363594519728928938301964768163937926261582283683775784848025962203815952051168672241173874587934168303078964047, 5164524690817708071532344570660506316574169387931320852653520648596810782031662555712027323845481607132867186491891
176, 384, 20566512, 67949056458653656976568848386910788667375442449328517, 20364156668939504024393507381773484214044428818637483519834446448071601388890750430195617947466713754255635015239477, 1681204444930042818170717880124029301286366791967297037110319244939667534746552022363282167072510112281854903458473
192, 384, 10205027, 3554487046778563950507368160188580579538971859006809393223, 35731549356670380365544184431364579008916727742621160231534731998083873475796651256394662878029136960797610159908099, 11796788717257076003921731304896281521291540564562737562732659262369257624025294067756265476927352445586009527016696
208, 384, 10952109, 335590732869912592126759991076112529876826427546988224527729553, 24242313659605028646787507664335799717886988819613408755952257262638492715676499996811527912029719699489459141342057, 20063544271216677141461428472509061905990029526367699930443492588972523027046075302776233727464507638780161706881477
224, 384, 10987682, 19380395117525453172612085889610465880866923024452816975412044264061, 33783273492418084015186822236198054357490767159503246985515920733673500905783144946989087077926269158794310489110699, 29120433591277441847796220260750586956212071425209666361033321784027358649563710903529893509175071781581856604638539
240, 384, 11769294, 1460338710054181115320524259836165856449196245910983732075456401042305103, 37206083529379353784919369908065400152983240324111152918985945974815578691258053359015484889861046848165353529459509, 8113295187991498304721900445251918795819775630667686094738596782442965954945609350899267520406282792209541923113045
256, 384, 11308670, 82752310123534170072362892530690406373468294519669318008883916819183058888047, 22532649431352566656750120260216143847932938232498476970889003832623150639054344989052169091997523508435900103993099, 19021090621992832826907657311990095795573394208452981716502039457824001533119475443021223145533571925776272681988685
16, 512, 11958616, 43991, 12818472837749947529236122683308840432715160608074413054863851437100663769623520526641448718651374908141380645289510896719237650711888137306751526006558289, 3006595022232634107472649868615346791488549224720945822326769552226594752272734585821876480456594149808290329541768208489471595245463822214699391493063500
32, 512, 14110591, 2336948311, 7317477054278965302400268191380318555411184988120230011201985954409221043793927073288331385385678474563364498613879992434383902094935638067550371705102423, 894846035519885327560384407579945527794270234788668756717707545072125511767113688387226283999167100857610559490328382140454498474977308394571440039472635
48, 512, 14179861, 149438502234821, 11267350704213730577612104723872855963653739810966577609561034636265354022448862697473690908229665249668862374981168477707409383880026097074187788085570559, 377038008292605546974526209029769963934234978029360459116341977248772079768507782323910218181457443008641809152109452297400220614177311918468404590690114
64, 512, 14172257, 12333302992451812247, 12839700846812797335654668611498949154760196993919882904835724304163247605976582428250725795340455439343022936117636217132236267706061575354467053699469321, 9899166712193982294100236716303886435061006612697833000996433226643651440833388560558402374511707172704259244817947449161376425009713996642859501522951602
80, 512, 15420015, 787371956558002565199367, 10061364028960292352041944280311035871649472297461847747942991852531498315448518852245193853457457002863775801105054222265912670822504860876032584852577313, 4976053539236706266756044718949945582981861402589631471032533032365995793425313950693455428049751014256186564064088711669981330090998050731342222770995059
96, 512, 15361838, 48374989941564162465498721699, 10797394026951407800252618487515194486512816401146403707559478798306503025001206863025967655718769492085101972571138795595648305490817104249149597375924973, 8063990600684718479930399152507383275358046358279927345072370662373110292727984649926404835289629485813883935131234718347081708804587789330265949651723848
112, 512, 16611053, 4295381220312537698422859425627217, 11468655336346782325584923186705499941678801694050374233055197462706970674733558885493944683629926700949150464221523605509581960373244402143257941109961769, 6230869926663468530535556123675446826636063949697705525624753573851600699574989849023798681580227071499445152128491489449094568974997157616073659138661688
128, 512, 16572824, 176644520746395892404259566498780314221, 12830497662651142805428241619396657369668859127543426385064815521995760636197653202616840686440333085081572900108041942796788826196936508457515876015277119, 10744091357272708324626276685574861253844806791852335034444698849922434060927472644598819948579684477246311919944302994422491747183386350296867387116449731
144, 512, 17746051, 20985972005577190055391138971866752406932083, 7694143170523803190152885898722819888632390955656437254997815701571033506540994531110239341782820205057733462396987332343456632704765207230568826328671943, 2492099377451267704484815083201535849811532583023147455586802590059906085381728815694725577088232046310662223654910368534119564161718954704481368451078948
160, 512, 17160583, 936584102080921727991018400640009522744803760597, 7768528717524289135459590887979292951737002357018135579373501794374857911442588742401225789361467624250877088474323026284959548826575119197148670649010199, 3839568770080316981217117201607765117608455708044661571367344055354469135450382728754649080664871845027652413469008918995612930340384320326967391411027806
176, 512, 19055735, 78183200526978478528921055978635562096664324296192869, 13054503165167208884916192691939139186035355351148084919088123044893379879302016648761804061770791669329904231581706478308222415184688925373945699839784241, 12023142594681594621789770518121646797225580733194158661547424390192806018960516352914264320478853475994653594012782024851288072189137171254278707300629838
192, 512, 19035683, 5047922419591688752226734580444546847014366901714411661261, 11323601523529065626447218379902098599132811460235908259748007959130477219222261375882772039456579300651968981122961527631621404553607859484534663711830319, 9018902356107424243764608393250159985740230612296239519084887462538574789472463924680551810740665630463293421900068802865134733363129843149782018295582312
208, 512, 20260940, 407085367796179926985464804857099890570857865018882791977525671, 12860968393148963041551191177361183906407594618854570053595879026604590764778773826160741781098364323412133716485701346632569362381084127945480738722584139, 8249435409476028294297262193226866185737385257684216553380621723920799069113568203645533905115591219765698372534852593761474210300428209300535088962899398
224, 512, 19648338, 25155138781538275432413159094971524835202994173133540059220431141223, 7325888423030302048366285270553832518816870512330185732972893147815210245502825607799169797595919769036157279408111631212304647602230180942518566706771939, 5796768068565623402847803396900260930358002279625255440376093436468291535460766210725578953063315038590722458396612894033860237601640561024402025556025321
240, 512, 21474375, 1664821032362786735443330645100156422672848613740344978974742068614378581, 12776317793136406848478404582121676036261720919273823180086596307531772131809245189506539548082564472468731661189631281266832647261735163894649840809507691, 3931494597395311990523916296630598811711899947067021466442503840258162288474255448157837649076645844650504962943035691930351317052807893699002914758256185
256, 512, 20799481, 83160652869980356888726967036787744164357315548517203907279442119955698136013, 9330194655430304016691573910055658247523118742247277024831396772179397958155406932604460971194917625282672897212177082090175399717081590659682595779859631, 6838206061791755991402608368258818820880953415685953624640961346481187313242511778660262666460909070545838014020594360772703387735847714250164886497268767
16, 640, 20405836, 50123, 4310373118666821238369330832217895048970605326441193751408860528660810796901523048285605952075398198250571079986750049570301021112709934941709154137777218636632502130046187519775665921602794093, 2049289526655160772225329265354641299030385060755994464008198563475653894527063895397913926562595318790891042969878607422114705737390878122137838256505038252426723137090182244912726427932553629
32, 640, 22404789, 3480998839, 3319695688439121886070418015171125169682289153585205409003340150155123635186609024793865914291077259681686304966980790438995355225057934057966687531290282657459528547450048181625403055732726907, 2735568365821533924235169764463034090098496739461142079591559055080863832010122124991517549133779645683270363201768679186485021643128608253622156833486743885047863528209030646487984844361271655
48, 640, 23332444, 180422737523807, 3112404366736199491214247814812562446472027410214229042040775084451417494643024959082272645606868385812417753875195714897724315957645844941941258047863050754873305991146699556014213946842933283, 2422247843632901031224884527282193696284415313628528617517878784845800317937560365996185973324602148135233376981621244734548402858408498350497590739307832737223623994479667408110182843416137269
64, 640, 22497653, 18369645873818707021, 2720571705310594858983889336041274905776058330675341107855328794880567457833233798156238800976461558561553793419746492489096450546822026871917377021672124871369469528441839112840670290989827727, 2027987753881140272641399510978202580798970762209968266231433507310131757471815369925541463366998703921963301933109066916147181987107584248561059619367816752022127685947870753945440106295550173
80, 640, 25117959, 1021299813412684686462037, 2889999220317327013159801570823255327382609080367877837751679966135622811484408778919711465990384569013556912329791365024908696157681090388828280528947742163829965920270510948194167656612812907, 1119793508036213634393385944755688947877032938885150029509942213314694137344238887392520577783468115982768835993947850233512931154212975166770627443849029932147012238424664508889387070972965448
96, 640, 25184314, 41097120764403167930827413421, 4356429308312925671008009762769526791134135941854161050175033701181797090462076362915889004789587163132201287061821266400592248294021857972404647566721104762292435385607942200310952890093069631, 378527895765196800540960863150880231637694810727403479478024568825171018984618882528776661458743477979214938973470114929362368415459392041874513633995124208244332223122104396460539147235466330
112, 640, 26732123, 4129148184748664995045520646893321, 2379358098505678714982546729924518414406652773549122773324799791411768554013234079392574214353160604201436173184965214784861753739025768474965250038489924078144188763954718538213069484146635667, 391846846258167547221325326193262873504629537043488812770530493401296471786157472031278658009454370540616853029259543771373540698938128389506773681222135696067434861329625801023786668092706607
128, 640, 25842124, 290268138155608991995195538352791422511, 2776279340092119901413832209136839246491598323090695392648750992324218072364552871535039334772378766187713960560251318645201008589105513850481546849206150931914416823457117653354119458001767889, 1865550472994948635097817428471490806351179117183357242118082392564115563908915564037022582970881302805877283651853428957888273709447382102548754120379825540838912877446415466385615204051318883
144, 640, 28359879, 21779098430554459213973184195961791171444773, 2322807460714584051870114360834298359409813816756405312755043615840859601159392189906170840107471338714100316891881786154706329847052004212090986928979858052123222185225409618261897710423775743, 1616803983161686771042790956791166807839067209414260827119175758761683269345923524548541650703255975251228881746458531377228290024560943808659823767636705440060373105850682585420617842108303176
160, 640, 27663995, 1117732978825788296414104096939584559372544256707, 2287995540234199695084645896729734467366453987081358274070122571328835937264799268293961741774551308540359386214506444752818072458166111662245624536763992115347360653850832914492511411892551539, 337278447474554121735371043915136420474040117507733963107964565870580212489250685965281882881992070365766463290479076625333138992469048436367791937269359188544864238082411046214494230010436689
176, 640, 30222479, 53277476541893996810922515971528137241016495657332447, 3902202896719074741345403489863320927307789433773410996275380630517754361346262576790763666684930013242134747137146315038173465083261205880003173045723974066909956015801364937690386385016438277, 3863565880621249485252245126465085536457541096012173541802442727832149135745873945171613901473021163212930058201251189590558960261132006900324634473211105247503291952725807785888691160464525070
192, 640, 29382064, 6153454602501969939448509821453920317236573094185231871007, 4253346632266852161164161043720597779790499896340361572664477469524855557650262706375518157178274204615637397589800055571034207521262517541384499949628176861824723870239282021814668007849008261, 1413548183326292372167656142475411637462216527557038311462387434163894500185453037574782530815830959525629795192943117505095266978382566874127702438466763002105871554534503688171611559510840250
208, 640, 31982995, 309818334288080203395017478585400608555160120830452729034175183, 4254457870244570064763610147020013207018060267044517498599944962108867646201167323930706268095409585647443804482296588500770886347110508073954320502092139254426706654934838050269979565572640107, 1101707012271364932438359789017936483020511162871443014006419258083348092234596488834754671906127209273672743712117644902180506581744099698907563512087247315355093185940105739926811554118509452
224, 640, 31270705, 22717517501606927528328503080397783420529553397994392449936626958351, 3616989730138625419689313241289069741713936705828732719458257476037990967325375174878737373714432484861710188202758811779585482549388651599853940102447040199786486468336337194785240683703039601, 2789619959668055075132554450053531358808664590130408559747744054979737734086166888345835944059298011100680789595114321260571834097747548304820750818010102975328952147752762017743759968945890597
240, 640, 33695491, 1265411423882303797092243746541189505659098359433530601330428012555546949, 4356042736766436051446940032720351145295286340152192247412036047112111695984851098809365767749027110879424637966186536197770125223298359064472619582101704661101449830107846934190898895324276337, 3814498022825516458203369380629241537821112250201216870000435354544204504798521823763801048600310100974764198344193688039907725694698960866493823317986090610892338067646849530885341471852533349
256, 640, 33774292, 60451908227161565547996740702481930811504050901329969247940903387273529632569, 4547593128089435311916342585785667470071157389667972289311049615418652938202491007051732754085259915212205677059131919417095951188111709788120169491271844780240870557313237095591626640351713097, 1276997358125037855657497559579599312989479587726493722744574199087840796112917688261121033097784258586974026966820976899726522205456485500728939573903450994066620559978202873071453211176092327
16, 768, 33122784, 33457, 1515513941914927399636421014741471838242377238414724124213670899512710835288042694359292928533121345525515817102605458559114265183477062937556068432109371752266241351894738227921325088127045358184109160360746093585209322591322884051, 453863537307047789860738457204549431138049550738980911434817465001587076403976540549223231589603213952978901646663636182581107272480703077501115755292142734349659639239852068294367234091418620258990648454948586451019016666388296561
32, 768, 35907412, 3472995611, 1150630755677372360532356627444832737697378352711376002683691157667269261511921492279254520733245709743855349270601292345396388300583163904860492966422499367027560782447774470984132346743382622905824037157451387263156433902760747259, 421632556467676448744043810111651642710492426101961975765904140767015417789059391936861083645187407599549650785786641156694101441337159298452271105005164629029345152825152906158384381067468603969361293946212692564838599955692467272
48, 768, 37545012, 230249708644367, 1132129851652073188653088304743476430923733896149691782218516907432030247817932130440167549030795033098179868200889325018699018459355255082923293122289181706493730913504966371326382625278668442441831981987114867607700019391458977131, 33287057624619649184589890600888907902925625779151321337794286295871504836354501837369859732070751818881653298298144022970390172693361195274832524760070982664905853046611307916110400524074392944010944081250839082047146027300521994
64, 768, 37672460, 11980572126790759357, 1401255928954255248104943951922475636781871483138427186150094887810784521725565317482717436916412337392676467838888319997327265857509396613042261629843171129901720961223288380689202561139509792697608469322653470645951436120343160537, 667249572988239453084339793073519186750033716738684013923993070745396309362637993716534296943299026969530614097052005271177286396304068499103675833648554201089437343714509349714794214571222312103230026361178715756353878001474834853
80, 768, 40013704, 698385781499818777624097, 1329251320936929424407925972162979631254833287509179830628935644862424156232098283909231865779203429003260516864661412169653853407016270546486073487622006018882890921287848001652699753670455469744556116051805951067854537950272254027, 1243912588182500195382230325440317434494324166667036392421522972282240159314814082552531485216281118053659205007368923873866358087287989547209166449665810560113904139883204675758161131915171414316012802225583437122770052318895581644
96, 768, 38739645, 60717405519043964146382024741, 934059288523823674170866923111125030079167938928666215507475623941946410418377306547453314269141832976952238330335240103818044929912316631882815952470173878653769360973455753576790668781002870619143680361306608872020399709367601017, 729370677153209466671482422921034975962148245495995207768197178104115696928997927813792267965837663039694530030407211444280304383557419586993183572311120293439237671250999897640580668347726385115674628673163108178556195481230797838
112, 768, 42363803, 4856672866264897404806643071856521, 1112834141976345704446813824348579975534567345681500594754943565036298845273578332912482441628926475407261869404565202955847478234453435239327723103586282614918431908704582518234374185527604277103920679900986420485983765774168261237, 841050047837293090032362694694399566797861280608394522114153669910911356974871075484974152868703417717786906703311427926719329639331373496399060576785091202331200281493341127482548888268136712469759643327939513966589784073280121788
128, 768, 42425730, 210522977153920271978066448567837216203, 1477436776465351734674070317792038220755740319230348124123519912633149036247445317141676136729897890392789498834389523422581211120536032362213959864513936577821724903717992271096353406599623250722388391104802984303375727588823768741, 1452253175106255297424613903538346599724014936621948757432888803400628647718568864915978052712007977590922688525320476683733269310650865118091425207148345566318143285309354013504278306475403338727551738550124083653928159023959353985
144, 768, 44644475, 12948149129404167787001622472932707838195329, 929478848068856342069683908314424484882007319831451077339846087033643629677534920328050862123023905936679606028187683817394064789592146159172404769540987588210710145686200062458307573234331279016128191170026551372440798580527191447, 568044583039349163911315300231112939062925589811527625611854953409372422802850318254765738836498192057535071374838138467396252007375670310562305830798954722871789806176743501738474716341402276137340450833130921242169049373059990076
160, 768, 44864162, 1242788514543324538353911320016114452280033930953, 1320819501389232426164406782049027430326240924217521778558432632639621908388218400277554382966206337208005135912085511879306722809307988203190370342002594887529859023931549586257685343176466568703988336420280355013963306168016380797, 80091616401882399150026241355780654174641288215235218871956982627474702407090422214448741703272817483430450294335922051675869893093092308144435905766436782284448034303075221792191704395389144651207570958188088904369487820786662707
176, 768, 47339259, 78052550716037902719173800794240551713700901729732463, 1228313091247455115324784564602943285124374538343509693174655537935386010998571814665711268071860584209229205682989258320132946642020395340840068099436102486416417925717124764287365387599735044147314067378458949029894002523053516097, 539732730740120738596993729551232312771438415692484961633344217602690912585415858938501752229449241510553168285660443385418618625068342277346095735697968280013834055720353721695645815636314996026963854107385707239999813509280344663
192, 768, 46013481, 5015281128695816009712454331226443041643739400518778787923, 1072049560044918669849166821179839702327287383435125800893259392567222962633006623137276082076194987841856216676019081256638934967681440568655851369456323675816713090849835462984253610413504027245943253056642391552203709203668685541, 943046486699652078327439558288963767553640215412225674492722448657463908531985761244222982042392147016240481452253044986596246059864320682982225142671652950233000047153967628365973489118405856874804097893132183484520298335149100319
208, 768, 49576129, 381856997420166441836451848052509691689591135288710406166647443, 1206084989751082699498032846616778772967718894034585058799695328691241789031492203076238050869743534701797426388048593845267844091206797061812750322262579757098635065642442180370667002122576552695553211254113066187309053088694661863, 846897423985838576531107164572229525163371104467939966097975436612585440522809743347996617483488928384853315948371736627474271177813200889086402967350414602988433095556355637396177807634792338857196845673211233992139549539342238013
224, 768, 49638628, 17461461114185947043843614569110044448367445692648483025715989029437, 1282263491625864084458733399014490498993331485145946553644805698776976212866701967993060762533048536336157607354411134432111195841240970909940083967369712085862302167990118466456243852575861833882690607710560052012515826191647715837, 610728111196839765110760709037304622748772013054850996466136497114114928483678934513230871250392370663453531676332476969512895912914954969115406825736243362439714288099580483099842541407529800079282303729858338593338573230344230345
240, 768, 52085237, 1726530766744919312305285515936542693759203588706625741779984107797556183, 1274614763137639940565507149523101253137225574943685512794752747197399317719169056357789920293080196414218892446671853165056452155243357655866389361333009889371098539631015207875173906295808611740443130808795771608538903951737233361, 6018066402554921009418979479757027939289107703870109370139269712043863497457043983594319030238968944795702082542638917211337166650295002044821231184829891991419665601917748152925337555278387019513020912340645778955086064270381814
256, 768, 52035550, 72262479551440022465332179880968507877138504759452851485118397476886869159651, 1279540471968335837065071804478228750951680961690587741720796846377820397394835082671811411937580957813181089563269642776643109620039182921672841041241122261773561904499357572055483729753253563075257275517806746406420003958728296851, 200094258993222897277217654540217677821121572657911212569042451739353553090592546346960024447845788013433134321845963074839882660763609611212130023945080953603739245624223313426588549819883853014156283672595938235085574424528324971
16, 896, 49120870, 57697, 375013250327956874662328558873857652687245161559788063947449955931389217872940219250553188875161855327454385456129068994201902081385323410304489433995948217459180783184722343620682859821924471738387661175433998617551675494494314847623739379251040993264433774080837071331, 347544279070534738554918441954113752885633413099338284957452667537300794705510392518384949731379678078901566583896644431782362191717332103766225358504079311044392070310985656368175059748590186381314250995582808577946407654230487586353487980484753719830855565652514334117
32, 896, 52846381, 4252414601, 341275292526860652363724658029851964713821151576336151449239467795332481382597706054886399493838804539552180304011638242019846661229329683993737632800220383013317030881797179307548270966151626551952465713874883015425225483244506335090735569657665190626666364686168146407, 287488567454569318644793788977521296855307006537694310797889647608818526901403716310582314270874755469596110741420437327697331581103017094369782869082189962634965647140876144870431704166695276431892668060422028205175070815286962756669684176464411657667804006448291679141
48, 896, 54453096, 148793076439901, 483058209814873719528883366063638877456539458037718891265183412881664363599483042241368702624904412733407472764302405195685970301707412376601540687693295201006369361481276612756158337664772872360343090988809463084362238611454716570864644274821811464751142364838163813339, 343042184435980089725556575516138970463017857706061074024111998189525219858528604682087931036102115519379789500072678835305736360844219762928751606729469264274230326301090083977618430124793518457120538846308015951266126043868601121347446428388537136359579567548480963062
64, 896, 52698309, 17858751916314827407, 437347290167692646004277367216026634827228540749683382806534064081303713718901936616230704564056295094741327107462441036103510087098568617380787740487921592920422844944267152136721706577974266479241957249222604998494495275775767779189740663488262531215756842094793295509, 223822597726015138997450713516388724631921477162612501341229165800781881851324624480622550486310582786051680738059679542724981826409255590238453930294487898176356472133497891048506015329050353048625311254428350755595104737112511294277096209258855877753368192681031741082
80, 896, 57600336, 785292469724777466078931, 393988182732631889418982357961336758922157151401016892420814808463026389010727999754216134223855318168824904891014846016090225424728391344364892343412612802654451541959886546423841385756870009194207523259208222171360710710618545046599890588685005065406142369243970279877, 276821737745967230045069957853885784861904996066757515405238455553573306828181980557756842571079137907252707371704182690629362677299842122235496598708903201006227824247845789748731979398657594488232753195341417603710816471296714435617410455216885227758070856439896236780
96, 896, 55752371, 67299725571969929558285406631, 435148559463673632863741705719134494529625308947561946148161652937527267764952323860946350827472519423983256481179476638673498636935248600822814896665797359100131237830386763383186400333360342636544942139127484587726539620165734503281531502114270154518283379811225955277, 61022334689000676665638318776250358615549442183742193097743439363970167197790443392421169340994836300612294777903807771111452468230071992622463885267562248197811086775307575059556175493945899974566291734814069856927268173222349094136061816351987747759949547589788809151
112, 896, 60517412, 3386701915887993252149126377417121, 408399677020374766744399774352079794137441091888928728948403381934521130553718298958936475875812235490511593732608712142250148195305370157145731754770313729048112140219434457117481554630333947248617027744313065676250519097146391947336813663154023004502733475991463666483, 228758642532758722985487775734229072812414472880819326310111468081733329408250462053885929893395707531532313935615954309027110953002538743771440396863037481639083233304891848140000909774682269970820199478044117759391327718957345899943209169673245840712813773306748661000
128, 896, 58809968, 282110729545961405929760255412997254547, 299682220219332038008686293395666939947198455622697563109428705034871703319411632164400680806503129277382863581682357486056274951470143910460251834526065259833265500615579289637280685632834997112548654861312947412143056152383529316974050613518701238529984625049107780219, 123470120451516660272135862233141502479675781594216942232896013838101516549274915600532812405134185477391880054288435912940037326233877636058717195161984442311874766439200515641216396433912041787499036069087943324522750427513828178085462295857235674486314449654757175391
144, 896, 63590218, 15698713152530332314952590100845792146698429, 323441991460462243735167811889165981334415745465719282882882910324968133864163018569275268801436505814636347269871942561853576038785376735935360660294610449556896614938699273355294613163968070363439804016008895206478099171640875288602735132822456479826750427726576207289, 619614261034156886785536804055916445757509437334293570895094887211369403620849013995942926478462876672633827849350653036238510672185437229380890119175128693126850123956971057461790448279023769364172564274896881474395613724177326102330507386469404374142650386649677183
160, 896, 62086991, 1118486811701620168311743573662089896446824870011, 316937032267580222755266351831279011691760057351184848327771819487171407760999613326701568512615124221231112444079170400380074822695539781884716574106039504161821417849326140671261342553547092540429266565826115227801860834405873309039569995028323912582203863797686807341, 239797756349909839205451671718715693980060056419847001496143177743627582533818669789093079516156455695074944819231728288831076393786103745275479826467066135728408006431824496121549399716204713769579074697643892312348388196885243361254026157293966633888675626952881749722
176, 896, 66503856, 55955185563597506363622759609878673367541257426019303, 364432983229689666967350787543546167841350570949424893175347105023867454299991097696535418943553883137116399303680804281216335942383364978435033798828529523178099163636207389269646194762721108052232779667821968649107489740996501264049309130560346521564145586326088229611, 136605155385244730023846040085992758186650443325898824761298844935065176790759436003016460159497410167381146972904239388792503059826781540270070009463830470451053247392423158586615620492075613212829742138013907719304069541655857761384507018274850082705269693333884593298
192, 896, 66848335, 3564391447248670282323474531719717251115678229949164095221, 481469743559127194760129269069681358521143286128076524604053600958088420644530951415914606352402083673443788927925755757275015592646590947958799625218824201709463051755538278057189145974448893378946174122030435197410823208211229966059590135113881835037963950477965595633, 309774213428278662930562788514742918345575042097448110512737891336864636488000385130559915328899329757334295734348611926013817210386564245600207302297397455335325130817768968328486039153939807068300178499756608491039926902736068752574756564393115616458945469670966867169
208, 896, 69614161, 342322423532373260266629013441327800314871824028532765563880159, 347454211486676955880636698254446435662650532595668927693915147754282061792111150619901370865013781478960361425216568323159992589425751821874001159512184073720371130887771297124446459938961734194581313252740855255348384715446710321406227265425887116355394695895816867817, 181815727858330782469216002414613215074656495612566202242944682785833299792069887217577166588242472857223190321067119908450317314901682861015054301582519130392892902202191350757523998101800583341154382765810601321931901884841035004398526340432945860945500836137578140771
224, 896, 68322238, 21879448323850181649353744486885406707556920567224661070319420802473, 356676985240665753625356228789003962059552653088527064516587562720125195418801371721118107141197805168634095228420643954389549077917108233661933414806519236012823652938139333650401536917801737058357862513567295527646643428644316145254479489424495232796577074496887913523, 182258246370037779543369553782339720455155706566076404975973796608777232044184091681959863157641297599131989871744592729760126194116081550679805587556502156764546714250788716739212032694833897634994538490268526524769035432010932185975023168238943337271047981928607282012
