N, L, Time (ns), Q, P, G
192, 384, 10164508, 3872946450100823134345334768124332226385638453036507329647, 26042944052843957953797525187585039522023781553833250730292244888473754542654451545888307667255237901738735436031481, 3680245534643955062964934116697398511725856470502253370499560146902776203928335408150120209403074553522439606033267
208, 384, 10956276, 314872620618286039193811291703161341840423601184109016322341467, 35688365122189732851119537757059344435920071165948758006927485501675195937497292767712995636119203706126075214857017, 25091311086690021108246428837143095252805639262691392107717289971640100962218069608020974060185301406017576602249932
224, 384, 10540600, 23121979195079513805626025690135075796128296959268644866843341552741, 24375670349109607807901721856940064201247221670251614655470992341336948995516013667603423332256108707453035945613527, 1829899832009820491148484541141332015031460864925215225394150675490936915436122947981735615508748338880581513198279
240, 384, 11663358, 1310959716655609868861960032686395053607319908136568820018458404764669897, 26336200241933921331815444920818656458234601027642196134836231344469705597990329107834988317031575354362487482737629, 7087007858702693629815441923201676028768513507115438235296747487140221806669344710247194005995380466574601579262584
256, 384, 11283880, 86373669985949387021443469024912663832354302647995759184844220237391188158437, 28221027838016350742285127290886408994025362742649215893202512663597495580244870880717176020512835134244838903665653, 11211871914853384382661895503833097569445176906958295460050708817365336453766234924873917762065424238773500415563601
16, 512, 12238982, 44549, 12896596123639607969448619447688311028898174837177985442281175569517561082963133353699811021309267655586697899190306751308042453091527329838401252222510413, 4158798491398735278213250465122211666287450987711330963678123069103351841336872512330773592164895184529351495398378024445695496236991111609992854090367482
32, 512, 13732363, 4146822931, 9126281924515733069430583251165693171669665127230851158876748288759626055335032184967559663964027133007411531117578416262982369358473067237966426689114879, 3285987547885338507677669273891967943280844580407805885147385658333935868529638575569994705128782338121873355940507808039538357771622472027769706597177314
48, 512, 14225280, 194668046153617, 11683651507506234152027425259248551184146384713006972096974667561219302959814663609879967424654493736529243557670277517430309382532236515948384118906990933, 6464277430994234534203820746653401440912647454006851504776385268340257530217848111968775101110480241981758423018983727125355265094741627327571895319423910
64, 512, 13611009, 15381585622190259209, 9030769834168011572601744874928832691470926247274148051997740974160276741742935255869023969965080389704172976366891139923398901723836323203195745814440143, 8564436898647628394305160074079073591788659677234892220757545737941495585888357546982389083185376073259457245395077081398862355398725743227422255391017685
80, 512, 15425225, 1111855210723357637766329, 12505117804335456722359728775926933540399090797424825605770383718403903948508284750211171793051610674741925287228540521115959739053731496480882972969427853, 1852957701514334296568774097574545211310807353969819007340076370245987945987756991140742021605573108899951888627430937850753263580510300130211869693715067
96, 512, 15363245, 39616814083334490098301045739, 12417204709299561189170656280002932679997820941612499582511628451449131433688803653684438643595878873405193383678902619577862528061894848797250907691967033, 5012208907427186307610391667723664399707972584202638883553158125778461120825566749329773114331343248524391369427850794435846072928625905315608918796551975
112, 512, 16621992, 2881593908333531418533004276823741, 9738531436473569916342437849729143864799259578584922099424923705830127981362354156610752223338772806837879515914351579472138741304177190547625637283461579, 7235175225152959906336661526845553049275484735614090965884760252043952866694008395757854385666394784836880385881054913136194824940944672101044072189540856
128, 512, 16581159, 286530414960306721470296564874215805499, 11565195283989104469938578151448442578688956926418573267604014257118393036769112134384806120162587216298784473439855374026140971184588054445019329319353909, 10783080848517549263411971887314757187886231654906081126532323989178007475791088406266675802414006704018539728629011636533192961088437861737115176862082918
144, 512, 17794489, 11282920159569472035886407676632326403755489, 12081432054479115300894681569701963012998313114514392436241716917686427131629195159407673691648817227854558964259482147372076975902662038558285592770898849, 11147912092191271466840474554094450718450588216910759378082215091401648025332779844641221213126879996698325824984290258693205181344144584953814593156783979
160, 512, 17876365, 988181483941682559159770963977479035101165435709, 12384637402954297011754183864344112777710832593139827055449136042858727772592978363672821245315247424024686966723976891514363240594478491919782944111054913, 6360257594101167308455847896733594577424726981397197745857187659971275613740075223073082760288110964335164233299531841618746641744186613135264460859892451
176, 512, 19038497, 49673330536079305408243841213833419983241222622242143, 10794667601159691632573619669888322149032878783819426439956883066852996456732525899996420376977270309737345208362742855012896779795278797114295412237293723, 7810542418606687663472646908879020529232841041407188175013168317842990908778823111937224504213324127736836892677974090179455248893017994333651653201092876
192, 512, 18395947, 4855790564384737332777204227258627761091500123756920149299, 9382028023334796105206486214204925595036045968018787574399495945901769262221562741093430005871237263857735077633479669884717026965168441199737468769589473, 846183537123979015936887113198921730476662764376496619328368306233858929731092607448491848935249454345023804280412380584452237397702246505134490714583928
208, 512, 20168963, 327278591458828023033991749844975409506243033447856603300885941, 7614018969692351592545096749693083212921522509824158263265904323598870093309191234210117512269854850217224637595925513986310974295387290590869765387400301, 4762672901497248600685513250925649166550660985511156133218889335279331190703341857239610381548039648600504527385105594625587121664862238064209898016899616
224, 512, 19590527, 13565113953806758429608835317573043077644572069893130567517142984149, 6735232508136345521133808402853466539987190542189508774685315639073342620496310598950221344170503854011078374124655276510356069996263584617299008577294353, 4865077466918475923194104975882427342816205410917078938374083197317302947589275358412678524597219349063424157785985996495230466387160994974277430747111125
240, 512, 21318440, 1087327834588795576983884834693322410901999128882775365389643692446603119, 7356380446842007252346867944740544951521063709557713292581552745499333399520184681148536777340375983232043918393448650403661937580981938451225892278521113, 524652081480390615812728677875142666810116112288772436592173437237805019290893562842952807461937651941713977361987702649201965627531402540129643633261107
256, 512, 20832399, 79317414499378666159919763080099949510089878534221867888426324985585127921383, 7636582670186283708330722305903701687164879134886597209358480436434082964044239766284122757935850115546797519405401804274587555964692617157781366983479679, 2220845616937836554241762282252776316165005836581420168867963106909050490120371110014131419541543693233319838429187576761729526984801977508009758419981643
16, 640, 20432973, 53401, 3181692583649858142212794017171360379671061582782229893686467945993325033708787565192312791140610281251822148332838884767948185162600810963048500960998632896462975512893007949718707886337072209, 234731588614643592586929692226982151474627079720621215412677053729754013393603241624521799650118897193810242811255998412281217012861804094223263793652859199919793282808347688662761571498103633
32, 640, 23271977, 2402685323, 3954335253251725570059726811955758797953041498146613853269953534312335671819578477349156556159903420042702487456548723800831068905752250964787903640316252620710255683875971343137103499494036857, 143197671462659393975145161329947078643355090889779171402736758650226725993530253582036718173002836210628613695803496494114705349056793992174681203899637897416490178936169087506344002634688834
48, 640, 23395466, 149339004594499, 2941504965794625854582664872266007572282900160574701980624485074551513679482896441770810729873609495045083638469587631674148811008598948785088297763888046359608179928126899786196484770529496313, 1161189310379007545048003534451801888102812230935921266091305062473924864060702595264803462268550191765896351309485295933750078437954366767488168257559069730908090816292076098091912896110987227
64, 640, 22470260, 16219615777905381791, 3613375366608817790890183314667650665138150273043026995379053338920774297376369207442995102887241828194447678696870854194318458101808384032619189328366138526574359050259254803073179038090134797, 456042690837051891481398416680935268509941986061368178610743350348082991445452644467869926671085249976653145634326979510900823917371899780188712088452473774394907916112111135615581575805803447
80, 640, 25212180, 1006516328100007749762433, 3409649953681484753188474843111985199566805727575694027398778965912521353428829407081967704648432084344487207393014560448970788422220456528416530238302772220119465227244552276140604786436860487, 2075645078147618113307910376698515677255682157452254601383199946629937440357807552552066239470854656215606024964119341550949025921508468190811768102146475413379629406655428659373469120897649910
96, 640, 25187910, 66360122181726704098860745529, 4010763357158070631326994749284661936105172571715120158479658305767393063376042785847688000294659401769820130661803344435032657946730947504152439017273975139573194937709963639210282955293759151, 2175972274814445056222932805707046373134570113680872295048554273509192283662075563148397376929048858663494888588109737607309494696103501483997520948280759392805136937469794858490665156330108471
112, 640, 26806969, 4926464883224085059508938181175441, 4022634011506871534463734173440704844193588990268108360542998245652451349138129033359552877590747290873026220982804649405892973165883299044485502321589363481001704890115385039510741945112500763, 3732243498965233129368217078787585132942631309352293276297026040292481444051100223858113763198920255943997235882919413087993508614649282958110307103478150666665765170038335558225250675376468836
128, 640, 26872645, 220964143497279348969213949802978078693, 4109946889047217269155616521022571077080886611746601534047150425448246316735308027764737182356096853189532691169565468776440540627334005765393663418793345574309119433271763312512491277072757341, 3924498596685255615428337335789459320225706936175739005327872575902781733468352642990092365634237894239909839624696828821323430573844548854030010690461093695332113793423814243133451073097666177
144, 640, 28513631, 16941847095624390532762518043396308959346583, 3133389754227446673999692241329686926482262759553952165040561579424734018793879451528892935441562052112639986492958682334761683422995835697410778307557537376329711496121858858471600399864696919, 1209607677350631800782002625761707192240035409859033467456826467677860471105898763070707048693756945500950627425785591184029712451031208494930449652619104931380089065158942787314759926536643020
160, 640, 28636964, 1215376499891634452027415630160789559042539327607, 4206275925323963908558693953309969140171894738970156484703821610270518757899175336591389446959959150502709329359943751385681498351882570564424684075555035954958687377064478189506661292726070657, 2145331968551657409830681647077394610449741174853212431117438203319491615082155675886956707073736486185928376097516449604190322239008087720001306581110371834821213506246581967513151833889446118
176, 640, 30315658, 82178700902629883814319440474330532996338131624126377, 3914198231991791600490971001137130757842235849313218643270839156926418419044214077773258247777407679077091220360994818851748257328101484727274164977273522542584449943059571109509765203726937421, 3395102765122810945504405792333239786042923667749190211222549075687619700515636054982796547944994775852586945327619677796518454712618954195560516950547188149072354400496469894957058550436727991
192, 640, 30288835, 3457698859226024813056838053106393481559462648381499238521, 3863517634874931570180287264164469532111073196403752628436947292599114463578733018724774993505809828448764663027376057842123760714135592711821634555684364605184829184167000565689841546561323131, 3137852049677488973165633118465971019475300130708404706837568179204684983996180120728483989055056595060924144593729463610999198018687063014153665975764184211252051235042761387946243117471422592
208, 640, 32073206, 290097093352160339071621565918268198494321074887841789379981687, 3952917220661706881088541375677402252558513152887772662654694229285423854376513135098158757293198437142231922737260818766941413361539642980944059275797644188773350189946783940028351383214000727, 2755415195434667954380219907797113861701702629117323610836335644437188655172053460901824223992578176618108514155037294775318602998996355731473213475625290260821357826765080619594744541751730743
224, 640, 32101748, 15701120342854517065457950231682747034799160743891597194852177514747, 4325824994482932538815400647621349867972960460172366001233094831045573081680180259000416910147508756996952366586212466383340594371589552762942262050456086238001958430520062388847203823902732861, 3948382758058402059277811565144239492248658982477738167579174181525396059862394054871334303311559913024967891304849592056548195241145192467817098680688830351188226083892639518521401827816195311
240, 640, 35545437, 1411353365663764237949430043884365220894520615644949856688997296335283907, 2483019726986335056857035748389411196013770299010261695601461557487868156327936049602787936132844602815376681407987634030902723349104227283132934392087956697042633268145824342321293730959093561, 1038437808368655581871756022637615786634423118400305354293171061444180310234107718316564991442691641880799731210388569789452474052825445158272382600051031214468953335265302955177176636940327206
256, 640, 33758462, 85374310381609172501636857894412381435306535405816899312124240134641879117391, 3606339495304612853813303557634415609503217192232499562805568093019773758700033547863084349397776810671997007670188340157486296092360048928571988990904216589472855096147960507851219953142624767, 154383442224734008192444840413378436866549054413330699915560264482111452327690861880207261840495644397136869763489784168809201436614111133527857895560153262218177614111411655457414540373033897
16, 768, 33481015, 41593, 1179391120831500245314018525626916423658599369818259079363929037697226684846435264888524554319997543696269691545529587123004847597437010982500692426583035419520585172429177214530257455530672965266548701475774119971713819320169002919, 519993616452671228885411934418407473038510727026374828258628993966922341047585674753203455050511316753192926502755760704212452100370024886904771901354268076374200226061280964451540819645355142416416365882139627444543744151057256434
32, 768, 35995488, 3575257099, 963440720189242309278499311549542626153636540469997475279629891099558293053442577611522309070333041196784719941760817645480524256708342723079750481699533845513364670465299651011885451169434036911186486457652517797537786618679164263, 494721833123441328351022768588605240799261338267633985760619491032838386576522030323530540373401814354027623461189697834013292295155015878444912804934522849399792933119090832545672859001893437923374041006017809486216690504439082304
48, 768, 37505224, 273876084674303, 1062951067586378423705818650786062666400213369786964130344861577561167677365109201704226456294192050754320185681680087818946903624922998183131173108015859436623445199280251691737485921596276018909905087668108712160711153596300794137, 301557970058715252001000106557869668427183916471715158463734035668544385038027265319373248909882107831412592702987112944991986725841297356898923769885285302830552425791046355627374687562640426641159827493941008003177588491953589806
64, 768, 36329238, 13466442673509618587, 1017178521424868154197740664049020665454978109892271989356671832880963347877259135211309381527696712183751082971234450726724783586428600057012936045567641059432691665855624313972529641226539429961802150366644015909599524551981979397, 69535220872495880828978319003188112657616200063914566383353775405707547339197192435548210525443000275593982825142167798744119111552496382081501354945336470507605448860846995844734978877816174116554514479102484642866178505984299114
80, 768, 39995478, 1021205660842413891601069, 1257052165753962045114163711576027707635915851260619217142352665011502312307903521931649916490064679593147442391954030173104773474487270208818277012924815662502451755591054945124689136415979001156770729073118694888924888757231641867, 93915060599383640304184287184593280014097806176244700810014104541211892260975161339592871658906419825883648703605621025885741054355138987414461435818920413762546761627003996799243340453028627750361065773676226844395345018317983722
96, 768, 40076676, 52643913662797725535163237807, 1281527871718160528076953021112105608775309672129621499034991957062603072649762397947570795137126988335525096889671534195296109568969948477340117011658713383335912010229554728389863892032046452924707132183677479589554892981422304497, 63821699057487823359453527178110215793140493231701399049061637590733215895591648459132127276309013392767000398746512038960366814754054912199765724611836034343312367409443808570978471842140406686144788108294567030944893936513555256
112, 768, 42532608, 2871632287021385473515880390808617, 1481180855492090960078648847934854052170669297534729120183151684077375492155779064186095049906119056587105019621694182552539773447592808882973516835659285411214366431610782095544657869120791197214542707565227182844307959443697745321, 493890152641820543156209045739382191018157158863538299460645635570648196483133719146434860635764612189487899246272293307557627832711059690674723948705836361177952479345611277779298131123223992478912451512127433889829861583016426276
128, 768, 42421515, 205360362396486714514281026879367458737, 1008546228528713073661410631659321830084501081934926069288000060131054807492292932190406904777132569144041374534666420204860792690284712391699536513614660480744799300832617886310541610320530925199745284542723969228016065788112924419, 818702493939862527219411590215319559862683506205589747297085952031215540226248956004486303266468126841523830865816230901386304667404769296157285109895119838166212431567555099154085488284614854765482024397656721127953352370735189953
144, 768, 44866405, 19352385743337456810040353588015015875210111, 1173207855179127949377267030573742397227924732458616677873585490860656782225064455346666966680230760571848694724348793839861883313132004504519463908400382424643957040271925285286620304859206588188512741410337972135315834787218747469, 642064901840690567233331926212361777810138887720156260530129051908129932623479639761421605384054915441234848951269206725825247491536384902174428713810371317656411249437093363943670114906831289370522583611783248647543114635778205458
160, 768, 43575938, 1164713547613711295696481030032554406248655509381, 920224298736248557021477124751442823778227923646973079520824903311909222139597435710507710409369427138582281842994077768467707878355052024277170785688670531253840500218356572597998501843998026955646670717010696300316241831877505387, 192061966146966123350090448117981676682673502186369009499809724094735073560161679566285369894428085076204638632385744384783876012624776096135727865898766176037312239074460181157863225331897342609508754697090425042270693651037382024
176, 768, 47376919, 49460975018538972602634283226804157501275561824650497, 1418821574930509846500967004086326151565706242183118510333352221668826302407749080484986332998121129357308366997120415058978827604716710093948302346145622082585912225863214657889764687072780458625709577064436684342831475583914538091, 265410958789673770464001974898910440478879025346978436828811597232336167333504907250845579184761676412459626993672057493827601300665290064057518707293163883127331037210595433605229663063502998238562810468253209679948012012133151351
192, 768, 45883433, 4581038158415846212321858158447089129188908517311274200077, 948074517182641510746561913931112373062345431579268582936971860819910475622578564280348567139643561464353451165229313586903049794036875975078484671787677023226899583873528469773072781453009531505171426032184096431368515283190210111, 544188338068137565499856656792863200495249318157692527120219435240438924867655702830245136233577404792911793708914652453352729431831790648060688557604740186043470479985800823106401715375996148188240087225987291338178907307692627459
208, 768, 49652018, 280139794545057775215474954739358953269508851083917869209929289, 1400298249098048225299792455469008223900972519774640054577964148662380832660375475827838999364749083539347812631024865493630548565862181516879053440436133201716963841864736355017460128987665846738585138491266259048573017311849185663, 795449262168705027761552969721510640302586564294071338337150730906004247770563606915846798691585489516060517681450005633203195610655136472998953814277612436421230069278916613190923216481984098564217046588290012563462703506731602585
224, 768, 49742852, 16843847662518328705240042279981786152634278015534695609135588919731, 1288992194395409536403824808499527402649329021046771755481810483638314456590567840830935333233730729930215450054950967580229606336449386255348073626731940479999580158411791833840350952077284612108588350309936371769651700647217018013, 9381030363294628376979412427247105681114784713247675744322224420133105854210971003071396604719487589352859227165231739455787598363390069663875871283168444307762718744952890760815484293306712426884734484711184264367452036115275221
240, 768, 51939461, 1456100929499063733531799562361780459053448919612856139215464888098721849, 1045424294417797678335051963940872346408918386396211685928288484583782250859155033419252890253287585965066121196453620866070457193754715508366036082817864424533758748414146097989618893783035932137724107246496712333325145687534505009, 578862184658293198800841803683923986441658216699540128608901069487418512868528069891886711184320148566353786017265593723093512894795335733398099691584387141599968283537664135167317734939029528677703032596479908944698443368148899336
256, 768, 52129512, 71324083777323094826272019867680136263153227533987089747513576609362227356537, 1442934599789179382544440575537281193906436241956451758959068351866206953231880459474131776523607396771245467851364367892605468818290765178190149743511884567244593156394125913855453934849320302387051551087642617679680331668690475433, 1042858406609887518373366142124210505207392879690536812127559968147765638073239449360442377405080705686834401813998379549528863051271530072401232912833362093108865976837766177997265364716259090092786946484385372852081928247715296743
16, 896, 49609987, 65129, 304765234669922639446955169195628348780631167026411113182051442607713723083310122345613784098766479243862972705882060455572349389169654184279332288257587030871547357304384923069041931677697425703534737188230291694320392197194487283620478362959185602307764498873366861967, 90206229555221408041011736424168215286835195722376293067814944561571663807707735346952452864770482697215801888691917964479741512325064470098945876366131047359999356072994428291431485398387895266729293222669774796435429674098935936611071347065787050035194826010288014507
32, 896, 52541282, 4143779737, 368276811005862554681461325002575244001696908193960893949309916678682395029893408747845544300690653727057916847876406317691796959659059575431280567002830384568818256675050482622851331971462204274350631272167004778731526492470940715027882224616945610355791264407135977063, 260231909770570638413989349392790672069591507646399251836627907332637124632410610112460661166059995716662806513542143738532693467757979556501059040859300142176104724258017206963789653900856378610026315246760877533099150407194286282763349984676377606388550327111659770059
48, 896, 54441642, 238109468410721, 467694330268281825275481348086810698234613019603306358438446174277028102972148863834110872692010591171618113158459880335089238966002857139466532195131085233201758753569718124711316097608511606711383963292489319758672740238538488805705758624442087658208247251858633513809, 157991440790679547580067624838015575426039303429683500238424241725364895593721727443986633465332614868568473970149218528173538361051882709359887170517365821941886583565580807980218408244628692930800757559312946404041195619983273325383187564088214676610649953710877189429
64, 896, 52658105, 17620725357460174849, 331700590185617536946048814133487351685391940019239029517061626927156961098357569891709515184389402830706702005878948057367846533104025580378897991054910200625577683157969186933948423386560491163554903875861982578374261008178575003147752015959500183426180832144875340069, 253306768569861243905462595158866877562849080369896697788469692705222106388774210231772048025901063744041505527298563505914552425315175163531321196369832142631721597036916533203212874309055473245063100128980329633791275587765431289582214471169462106396701793944327904783
80, 896, 57435333, 797411916759052301168263, 493356217828538922019020238161626433122815682593353901223899946135634930122660496582848076830844629502062371304247167266296803189025257474733954493375133660024409964152104670776293200322409905160364725465239732988586227926906506002350806657081783794713212513896633267003, 415340917199068583326563312747459714528083523092568534040206311109796308533353469989765846421988916498528805064065817294531718823395104649193547042244927744612182217547710477505612490636524555598517757138418756570403399356232743607476799942265211466174209816417771152164
96, 896, 55955545, 74308268090579198524438459637, 436182060746788047256188323404523307629605152396091034506037155731124122584935016470314076183949151736854221572216684432844155937075045602027793781378626562027624483050026552083641914050887346275382150579963383067395816687208067693165379355397734183090660086506485261283, 306709272929956268806376858158315931659438250184053775381921715405852742888230315491535320641945121139680787427544285120017376165583811800285701557169652421363046237202345434250667323470919703385594168785649188108997474834985312361027895869284815458682851336029287167190
112, 896, 60594909, 3212696657780132862975770335114871, 471465756506465040498885600435310502175635280387677930915962753139184091318881036969955923428020578424515824589678096110626980389208546193779021779371502408281285188488812072471631283423175915373482324457544090531788070018040798633860291213898859635617655510097800090909, 177618406060834263227390155961861901761972230165920391625790055096954545795367519664164611714451609202084167063455106128336572527083024528611745802321857401043093483480596744493264206305889435495622510070296049433400485924662687924513909293513169309814311450094624081331
128, 896, 58966267, 225038786709215587235310836278768405177, 334169429646100716356457053624284718718301348377841964598822039355168151015134344734625559604652372806811584617520356437374114282351664699383017475816179608829524611096989584605729536717891629526858828010283010588966987531715601543472010505641128083544140131266474949947, 40771096054059631270016348067486889330073250663241998523701748584938705456670033693376508087565142106745532289988220638198236578168055579305635692478379223866928969866168044369478079962595890157637642147622082184851573711156255873801859062574976720460018334237056210987
144, 896, 63577194, 17880345116644523553118305267895408998868867, 478604238977061205065182319945494363182496317522310876152679450536719214155730040918875382854510947539597085083534601041304507405256276284637918473247557034493362917394080755234675990680148122058307711894325389491963243588695648417802944842082945914889170094118953091003, 77499284051399389656189103021915240671792084906613858850838722850937389440414172218042049613394464820010423785208761242415182428440941740997755564699652627158052071907019455292349092429534734627206220156251575511907552889514888031296179762736916990987578861471022477384
160, 896, 63634224, 770687695864622685578292230262869915287469447791, 487249421702997204970285735861818625128738731982306560622359782297577511249117321128225888245012013053369659977381141397247759909827928031581957695576847647510363038103157240953686533909337444942889717285739391322266069753050281282536024785160794643489280100628915160911, 164238610852445441729521746807127230994379387082954655991323995901028569078530718641166847494961165313615540952952519404005841964896923781642103962243900474052778859391731535230349514544977462852285729084385058671410047508977956939384896315245587027450229145493422740469
176, 896, 66435989, 67819727618695974761404852416715058660095439036162549, 314127358382788630483441560247939904014282078361788834283648796278641120027194935292941791783444391744183651422415721494126598169882726395415399227426568883308952870388642589546922229822564327995280580272777106283114921063686672164990259796817987654695425524625329398143, 135026410439909364764788569013205588827915563148990173437851740789156644323185844393497548461872190695251887236548608998786674415468739113739549358412391149158225987443319806596391706732730339452149452393381826716943001862516481348449237310369308626480460770351861166961
192, 896, 65031929, 5796428608471529419411158101798460866469561361902061913371, 322265216375347901914228264970271688657601501100822035400679441246006714891763042839892203917879431384870747936736058921753404102763032147261705072257693300776042713322438315873245227033893967921371430312206867373107783295182131061394753125734901484905516598126267624669, 75763993769919950273022543458762194106600963398559592484376972931167124525759303744796905807030902242480353924456023757725450415601208869057667964822539087098485966252131110879430431126603922558484877639321197758558047466357980508989822394873278391583226947419012190965
208, 896, 69734053, 211818832304348256693232556503604049850768425125895468338290373, 453330490977986195191102889199145000579710877911612585030160616649294144005968560479073587072012568565598543050205903459754096234323610788275541157327522403322786243977657742606830676152439730752178365143924622366744125569823166091712057048016734364313785026561069148719, 367839430206279556250921326326902836652963906275383552062633102632781107791720249555381666777831343530403050383175435645470865967160735428518718473457998949558765740664680673648870513358905755729585314477885161947412391733166723314132064984634643681396753186300736751690
224, 896, 70003792, 18319584933425480895748273639167271362237529725047035876826886592291, 458334513616634426457718104296015366418147110026038230024452213704199966439400881956950088760453003598886995301426013473114499745268605968667106781577486387917051671712754605510931855115698218106655445378918035329579047813506020723600343542481753423107368431459728138509, 307238698116794276424451906045755882450128383130644378586162712178645509104861581766703700851721507321962355107235305860527286801369662812848572142082788836291524646900704651220070057235940004912958019119130889754046433937702397567436837538770173825296911353975815314150
