N, L, Time Proof (ns), Time Verify (ns), Q, P, G
192, 512, 32361038, 13896933, 4161331813878326610385595820261057952250546493459480499819, 7289672478750944524857806176516391108254191194664201990833025623836818491732135463069570375623348677514677190834544661146230104594919659641198306023332693, 1176837575836783683905255360634430291072203358263744757734033029650505126543107630029919002693720837720919500686421114046211333677622903332568219950489673
208, 512, 36403890, 14583754, 297709080260496266654738837180655917152059605685384221039583971, 11978569755754450921268417215806937390373129636151719073918328008863840806191415705005346087688787602882332648738471925583630259947254819582566143804336871, 5578751404653820864857116094519721857853633300963080045672248559846031625027453080395835110437192856244101333922311383923479746310000112861636672548869127
224, 512, 35482591, 14482972, 26257972753820854510638950995737940397675375719358610038656180792273, 6906645886764623234884149765900835262072785404394993862768966561660951186697789798600312809176934420693006399153938650804127928419147912250393770893485467, 5302062094070219241670485186121256106051230252248255999743155209048160202898624105533388001436367749589766467951400776723319987274647732067165915830472350
240, 512, 39711378, 15230939, 1435698798335999945588579027819832213816290743777791687528996439475474873, 13268874351052224062492859046269230989661600611074029518434491123437190640739557279285476485506752309185096476631464474430138855049662817638639665859211729, 5419334930520099245989149051033668860559907038479958084260973883109845653846652877449835088540203247109222246197681340610551966666930774713778961305401643
256, 512, 39485858, 15166669, 59836210724973275753832214773066791422941197770591360639456993363305436556723, 7804846282803554191518597707592120440881485177926618017514342078245447431034914775849399647095229219472416145089648175556937955876053152772981770388993521, 5350041655067735694683727263262432436710229155799595892642171510086185768640192760565461840854014277120069708963363454409239313962969239347092587569050492
16, 640, 23654870, 15145522, 46643, 2956159452968778797672583525370129672197629029942326159336931287800667571011120584567274063691972020435277481607355786189377192759590903992164120630486788077454194913374830783459305888523102997, 2905329567304045957815017441343712175177267682379093839771437242295675210937803617764023423009636433393053336669438138452705578421120183585659588969116086678769368952403727200440976992952027288
32, 640, 28175687, 16030780, 4119844529, 4041514631208006488748317603645203771435371055729664990715074050250949028161001117991472855457495964373596564287688786746727459906338698793578984259754745858111181684359434986289300795179599793, 417317217605641261888101302392540822087538080286063833073217572778532216852353239595160797010195346772716699481788694840438573766378048188624801363185099835165948103025332184361532680552895809
48, 640, 30685107, 16201457, 207971412083069, 2411370666968556269484397549231602680731919008269659930372435265372923741896967700472783256846916355012707906613785778856988656429502442861641183670097826849972244877320686369860337975135511979, 1809013372624910056362160520399530976728004197256293626361239269730363310585599004800366267382306780280283711467910776862483408797530210067834496481757427728912134631613849205808249595660366155
64, 640, 30744065, 16251196, 10061664967052794231, 2863327430608525930145000694177180722270708787781776085607174576421230836014651213945477532980551151816155802775034568181864788629065442947670186819170007651140140314305187960806198397278144589, 2209603326521336582781811334890697838215748350706612241208020965881919058516416544150851155036092519967977693490974686939171454348174142919103950364568365712862913895544554636439528675647328585
80, 640, 36570191, 17116454, 1087673099303315812650071, 3557270455466574011937987464005003617712727822484088130109460029622359624634891044019483491687283536913703231848109645627120627446457600973740403919959415688118798367660418028054169715955228691, 1193217659274897376368568769485808447646565411484544898769177672209056182381019958761401018980794934120903677622494345376654991450790894254557448217904072858999414465606013726135414672085318277
96, 640, 35530455, 17946139, 59035714265764499711345261467, 4128729026552959910904441850491096213205507363274440153495896912540303686603496959451023766438871786253086144444479067819082304206980266137302667772952997203893507222767298043167729310041383527, 3441831114709481213040964154615596245916714254461961767761201552000400288396319625001751727385596067561489209887545762610078778843253936346540829771619702034410439726380233015556014625928086574
112, 640, 40335700, 18019263, 2804186385798238583259284383207921, 4174468842613835700297470627514404367285878108764738462034664682340633986721602831437360968718231736102565104295035111446563142091823811903058510701478188274557564789723598093076400262018228037, 3169604152591573967558425299474441702539433785627833816237516189746409217773228522412469911165042792904097939404270876144612418951679195936805074309639545418659065953278095225685719709294089100
128, 640, 39431640, 18807907, 246883774291614415668629393290610991433, 3118085412325633971970974573831559816782209656359079161173397496896203989186888057000308205302659263460781428339065763818474452723155894953389334812742755876854564877308420107050895991071360871, 2636509954087659134164819238620804251438245659568086925679254622436542325082471509350168205508427459603967519950475243243247305038715845622256956853609157340427443257791193169479175532486987777
144, 640, 45072403, 18871708, 19752272390670331523314128040711354218336577, 3666783379901137570884435696287101833235179183823440273061008173830918638672303573172898390095898453885836017014591150266496987798601686494910011198653736515162197836696175083710959447158660097, 2520320974927921621088249367193118642391045508001508225253613955021065346768941628496934429507495287646762419333713442144781176748143102215697829587571362836236978715448418084222455647665241457
160, 640, 45038965, 18938427, 931562079033270163508320849091346027217426725341, 3157712765090381453239474619928383524444349224824268033175710109770984233335445348752269080075323588600794817432717448454170615234961666663871553955512540923453203879787400014999451619351389949, 198669945604723992500356400915077306140245066058591302371910206580052930879914055799907948824390727492749487957536270623850685339916543194457372405414659190185259376144233759840447766211503706
176, 640, 49628741, 19625716, 72859036639720651099931898091228022291515185659745479, 3658608686070172420245731804986539388233722750438393209535858223977449805544613693238218260561490170465241381792000399562757056681665031411923483607717008613018580397525208129164607098863083987, 1001571409857159637166274166921633611185788605388046932198311018971260464385811274120187273721948448381695325647833273241214393631960776723417497027837350453180269177747140563017576943867176800
192, 640, 50456656, 19787383, 4211907186168750898943919011025998756224105843415292193651, 4403365857659655338354129679105426565021773476434807409265805601380278475803656043044605754777552700757166963086646757580101001417325265712069305491552398459987869050507938036784396418940159031, 4345499940032980623062010519990433329884773039128417758874216155385230855578329805483563260042184400183380972531865069594160783643311762720693863421025056250946632224104621625110548188721371333
208, 640, 54516173, 20553473, 290248694701244276500385145677743515971262638874045603388868123, 4530820382984840945838557017310976692551799838431455447893373140907676551649239247120895702182720060283325744017495482247042335901141367366595879671698823887484486429354998565666955707949215781, 3579501761120950652592403149236470693683825177442799876844412705766869423358882413449405884827389066256417252008131537751129485594578046511083062875314931052774630552885338222424195653459785728
224, 640, 54660600, 21534252, 20353150603127790660191201738071642304307606638706983446252036193111, 4353303673598704851284188358322745072276451155966546429216528117555747598184907147459746253188143549709690716812303771319360563702329884719651543767664632533703981277510965598213305245992922077, 1125554203762707506522785588951556389333353660756195992029214639072229903296211240741880528665995100713663332289298306218325502103192856689169273145878613713089178793815229868926200993192493042
240, 640, 59250636, 21414825, 1721873892365370405156831485928957167753045251414021082521056565254518639, 4140473263984065896997310785725893343794942522171205607189912967349112955462500947332263013316489483116503615529661122366136621302871380726683509872357223496248900695624685193063358221712123267, 2790514428532600039840512839293499395709453953007639859191359655855811806392392461094636074665177431303533282272467266341940235821023641801625289290296968592052139793118215872023385374148981812
256, 640, 59345011, 21447064, 73606068554501188532604538310422414339005574613616808554095504978748589671193, 3531394841115069385984334223473227003517394757406782964635645942701822566985698993081059143678549922731089858063708026055797824137505064001935137132774002407927120676781853089730280103889189327, 973508792370592967842968447259793802127680300636203030473125717343677633969335262450145726100731201460704836297995691812981228464627669443570251019851592213173256100032489327678242001259537771
16, 768, 37590240, 21066024, 61283, 885125032420103068785408539730466980471595951916936307294539074814177790063540663998784858464335131607342394436433946724174132260848915639239131071553107189669256587576795057405976647385682537678920488577671926643295168099908748977, 404867495069425531391852772852279619842874190033663832572357744191824223285108461234817420072800897179302880297174843973742323462686002725559184268131991757694729351970028775304528967381956750999550743409179280085821063838844635338
32, 768, 44641519, 22896694, 3357138133, 1528106749415025229745350168050524791148983585760084086626823972706078576172248701215394036309620323303631274668534580888261524777528226338620558061679446654208204303267365840782599201123803718173802265748845105429687447140347469469, 785635419058602712616368834396951195427578776126648525574102866105875908049260596068702565936477246925912503300891888875761235172817590495973049966719393217346578993498391100929700631032091993040010484445491189920428150790503110359
48, 768, 47933747, 22851487, 266751530690083, 1514454877682270001398532711619841361575411629361081874338102912969505489349673786805942798643252222982336275936938368011055353614128259896025758704250344915410721464857831433974446098394727265799693040646218539075162038831865209713, 1447876130472288947422122580069281811478759814933241531120941252740223358635690447791841712060073164649011328891661033012018708123680289398226837305855686141787430625925163671237663999250669783999185178526800050690577221540054122055
64, 768, 46632502, 22732477, 18431649142941590593, 1112927660634230569670913207196375088802645780325223715656805714662495050780797310766362712686893559640969145827913469082052134793571468645751424351495852187276921342283999893492828089297581615937252993089673516971190494724641368247, 54473557933735132771514025593934004368625312282108993687472135441639014811416551349217027103120639513207546693713519471852051322072674082337962575904593972015006725193638561490736485506982325384567544651660583517060531579211391570
80, 768, 54551902, 23997628, 1068822083478231828213991, 1045782719965806131156299054336631579220941330840222840624988245993605446218355033131200068003029756060581876820790534887277555714233094666374882339409475335187425785203642914626665930589733584628640496589455668720848274347743391113, 866354205124504569824638200205527034867756708570241119368168940109647811605342537130327042859619282028290266844973645465405405817630291252590195734991117954138485803185895712982138437090375267398614331490224044268646204665909028370
96, 768, 54646850, 24044244, 41937674620215809236904667893, 1505194222006336045279647397872133794560282921368453489482901433320969083220573535995925177708030769944154126182527434119169015492208816901408903288767837805669418505671770029611430446428564582895833343855100514610561257780037016817, 1129364459923606852576209763987597191701261455013192507552619592862749284108654268185252265098212717313197567293244543625503331146340651706695202093898404888232496859081871516269451920967743269337585650858008826445748719101968355710
112, 768, 61319067, 25266218, 4667150443815324372952480506127049, 1456700135207189522462011896628855449730484143068375119126534311161496626465361279958392855835492325578096888774224666587855857365354751799839141415314389566067222899340915053569768289045331965163501094423888921145943312410190903687, 1135559397394215476992863982381151802135209434990935772476243583033282537506872472682106331277322412815962490078807955764839037568089601695071563284469273059579632030613705379221402538728748222409983379484509095058482844977950639986
128, 768, 61201620, 25246635, 268811402311070565529239633697470367523, 1405115117717588174092985175407395101291819861423688188692323403349901271231006468237021466024730364332097516765767378683621726634087491084421064655148938670054614189145233509539763981411883566649044937246332012980452679989744337681, 348990475164745069269853124496201380752050461092525240556912255383922966123616363957951242998548133235911957760560347892341062684623770054075966756115243214242548791104235022798375696470432296291223359029860420331343215059590659822
144, 768, 67832639, 26371162, 11612798329156041283519122541210595621728759, 847880248525890177118087912948402655663586087749889727739649192516002094746793702798097264364394891115392517129689656125573886003871148540487904107488634806399190862449601584678192944941249738744286221257169774917947836404751187327, 598346435210257113110380453268164387343790625624015304571420001127299485812438791649176459134769893585997442974254316452961358422155860646848886179321303039834420961551701124715341720814935713179580210760929380180337041073424282645
160, 768, 66452487, 26294601, 1289793599251622218105503012536729437664462633987, 841975031503978911646086925802948858631152069290318088676327778059707491794364533570927541988671211797056345077091334104481877166439039786082356881907711720473463493199842592982820259161602701363533880843644328524669870531823752881, 206935306209632168966153836592815804441016252685882003565567625923584473559076615909215011247365419361360488914817406304834979487947543343965644771502155506086501104973120924392958578440155081240230932037992594699091693413430149403
176, 768, 74471263, 27619700, 90192857334777315069025152003133152164466897543255403, 917156060787465442387650894368297445550019128702257915788833285467823745305496206583331360094534517981603861235321050486018589471665929465232605165184634903309514663861290489185375034427708149849317603157877127109243521661444138271, 909761270272318078594894861271718410018173943138628786467101965448231651384440981031724399403953909810335289959591365234027135069991647830035799050135289687615983187128640239977011836642472734631454236766250025541834645659039224032
192, 768, 74336212, 27550430, 4026375515683851014721900960790374920920135741984526152603, 1008434753799293151217789785147503312664139683756894113461454039172151709028735735744871656384141379554636934480975986607643229260298622017248194613188252280899799414873251927122177366016294262678495368441944369622440803573412246311, 599490910724405447099634770540821159283620316522803241789708757254828374348964077240009577757876031128303794048892031164900320324506097205368111127638690009838165081483388621812346551094508126450153328426891420483393671230839106149
208, 768, 81368324, 28921988, 356245055827918069135961339034956173637398216214848554730521281, 1299490346098892526007262373516520186614707271823618749381823920528107729496584205386619411231217774112383324254182410537152495833794430490750863397845929211952062184247769662691071000350050081259726165176200008282034640758418113207, 864603335693948001484588783553131740344985617116269334981682463244415834239762364777558096727917823568495188720125345129252216758655638422395004063918163492668667261159917976927543195939056297596523949517641240954592053323129788889
224, 768, 79740620, 28767144, 22466100572630317086609726786165504848022997161684127487977162752647, 953575873018325453097515154554454284357552304118634524985607140269709280771702708264351302100612546706167992573604522428540755395028634347746542140262259295657863922770619385879378564197726840331846688739885663207660875272820581441, 32331699331259503211373159337130834232665278875610268700655866746838050781098603424054555791126507226075152685242280294390529005328096703026582444021630167942476142874927246900874132088170523079519730638198428345783303723726498064
240, 768, 87902729, 29997036, 1612618911423317454449165555341182400947744640975074512739280271272171801, 834925772885375101488060317088535225866742693409888908121221884350361383287460627109071502304722369856709343858888567996202303096433974337314066648390176701288044919028721012137621520745092392622473406819042012117575092372418365083, 441621220878502167401443152884698600174842486012155426065144710368625722837921768906035553909916525774565952731640581144412714433421363183544202742548095675698400687795872700989375187687282854365025626159371913785119798790485384199
256, 768, 88047728, 30091931, 62561593633262296205743330816024951004425519438428288944156677909202532023369, 1208073649949420144198567992091238869168859328423461653079127092827047853078527057479171397571156170038210961892165774122170814440489151052214797785227078884544063873329693329367612532974509837722243689701738146328491382675284401203, 899688640712378423375535914256980019009256239236298933124307833248105266921136432727778186927677265952769139229237991748510082544158160491542178770563651771348607915443206126339460752491363388422620331155197187408699391435295551566
16, 896, 53790915, 26879130, 58031, 319873732356611635676188098178675941050444641356709751988809580875612676894894138505663862327607370533868400165894865010921719032428464249330049772298613416358218313251239288448708205389181632856464867428237819527103554370389200818034955248647286427252103620938038297551, 2573257358366879076251519935622671899533337847423939779039230280458670770148461127001428181832945803491354287202515570646262253744897117828648415505602503787900952634768722524587171737834167565715476342348075722550720409073180150317892862192600761218121071729116212086
32, 896, 63505050, 28198031, 4030141463, 464661884735148690497709241941534974410545959887702044427074894534413796138944409725090555076432809346458182859231778525471435645138453034913945427346550219742402390255017559552196950340944800245921598507833546586899219756621125285307441030156012344618550018368470110999, 13376310226162764681234259510143395349883742514241307846764551067314631422179633437172381684264574570646616094753882454619505038750900326483074467633592801256452804302393460793158672196436965508588172501012451805176787274999853195372193771829213213966021507082667890494
48, 896, 67236027, 29077507, 218581250054501, 362544419828290432068468370626352538946330928980619039339588603731013955115891810133072569790582936255458117194425308595479348864349923592918435110229246042552300319262973870415966281204499012596738291198891063797317030722891325182731607864905483310548974178271632172207, 300435934846462287251084039939905151717301154081512957863319290696556176516463823040315943270634151757404011744384208939374690839464769964601163675022438081486702070553035206433004922324726301208682009025714639175435981914497593544089202359063613037826870763904637291908
64, 896, 65966396, 29175997, 16017878682791356337, 374903819987502057064964653399919780832548864194242563919264847031453539114742479254175650718621044077851336046006481500496009121227680422488417802177040231348563294164031408584680122549381249647179116230693524773190463829459247769412120527693435140810523580083204562633, 373397664497751031928633513390008942503606391255864644932376041340359104579820705898239294211140288294740057011478315044252385590296341520510440647747128857811545844772266200585381822002814079320882675469212905288334534510911263168322668947728109031444039518181412170843
80, 896, 76061935, 30789325, 1057882075061497905760987, 368773074520638149791279506358021331342269201779033018367584112863120070023844109039203422226911663693643885005968099778830806862854699733413985057404387030591682122543818434845187599015849560638990378672971312335440937396231002271083833441081419326209365507018586380749, 292445303964698377424293152691251503105435064414201005684980343063979868117446661787754379484617235152004970750970334258016400409686852462735567014777743129322864706478239303956052155147641114135237956059731642257315018041501715760070836430138974738164607706443723253815
96, 896, 74074546, 30589742, 71669076831974029340313304141, 283520707555340879980836237162100207473723759338054100083240227339353918115694642642252873769115660223884554059072819971502810503631913454715630134163951533702412463358322580550018843608184053369724882007360412277762862400291692541334479743527415572970406223127576349607, 153500911356024886595319636708143430327205059490023807944580018764420807857762616114525347920893443580687611577944446635790774297514035336168855038917931366844720374554690727522548743631176937100351337828794537251707225729601040407460151473943774480701176142710157707713
112, 896, 84712584, 32329476, 3246619815229332506141334050678461, 395579743717763311053196324861112928762487125875705186528328803463351490885646741035250857660908862728536245978932810238042007727738810071371932277010017501011191234601230142179976708514599539848623335483855103981682378968230543244857504446503038975148405224485943783363, 206933518607841388086157922289093464744725572106195596687964827560024471814134106996919104606310083077987771587532210816899618587302978601816689444953882965531773896596002496403580229879801333633275002652672445755720956209808728897320768915817762567906766528811468243471
128, 896, 83166547, 32341924, 294772311818826931988532143565205130083, 268558580728948679804589447408606508254978517887946660481536022027246968301882324345529418874699106440583500745542163375967969521440020438761708006421749565791709654472738003527396363571374711222756748767460182166925652324727955299380399529095009331610588619573102644551, 184705942037550541562035270614523686288301463935062571296201575280408827254362197069353661947060588741417611740410419673616272525498637326333050570462476753526236115020883717294640993337920455823634997927906140458406615498659087979377957984773615665395362979484495931676
144, 896, 92727817, 33724159, 11819553365642341357519855737470840969531369, 284045838133983457293943626654902348414114322152949621082820386799062648867894010615403085146571237689475446908987520312118413580543001472342378741763917482297270478307915671854109922237379823409084606567175416270917190272076869881019057826715758829964338099400347147183, 220514387766502168585419466350250064340064973628889942729059127783411500949074828259094986704514145399522628822454838918123896854070519650702277734863907705914040712136787156823347835633683374122099681692110527836614942338337722283421827925076932858936598270814157522155
160, 896, 91383395, 33806138, 1340137351302247806408614973815181692532228782147, 268236883983601142795015245247894241789634730141795931411001311320712149647748112346744852346490977386403093437269565592947623881046558403765944475284174465851652484285913427693989265480209832864064747457299059170402194239375858302761338674600795710208405903663550398927, 185792312919109455654494079053348913334756438732331695690388948240046978569468060211757794461986616596479949534075096190077631786732783147163868238892883362067779069794343103458715884245563936101658643102717413974384306681286464952644990339608955405906543131515215172299
176, 896, 101907839, 35524413, 89964843520682745826995363274858387318087836950296559, 493385352929688021685271028895655598106325889580181491690024751657589631752410197243036737253678774260279248913368498514479219259880592336858203332705533936635149970006704034139846670444974352176900986693271958814436928015034843958579014241927820810664345996732651209941, 166802724799265353045558638774904745118520772614941281072464813327716941792146726980738329122781141173719269259117020337383810940702696281793001362764520126616618150478438679796198807362992246481589813738413710507791037630316845175817467380546784162307301966576647905776
192, 896, 101864662, 35461340, 3949256310476636726547125518202480388772291109598089806453, 415355726021608635757787453096110186779388671069365506659470345614882396764081987789194069447213930833102229853927921990283788280301250761636962729367195459784977822458425863887783065369141582170104444022049283459860420559855024773072927347393536154740428907454570999807, 275094632903404458925267640056911876895712401112381918399514059345166839245062396031936694241082962566660647190463421674432222341377698483015667562317484369690035734388727706009747283466464609384951295470125312760019619590979978332751952801598846092815069223888245635515
