N, L, Time Proof (ns), Time Verify (ns), Q, P, G
16, 128, 2917282, 3031344, 42073, 302387404111236346725471527164735703699, 179184213400918228201512067173545763338
32, 128, 2427231, 1609525, 3116567261, 198693771001347114506356919829134371291, 76723571372334685253670465458283004650
48, 128, 1904108, 1502391, 196544012372761, 211154744536806276740277220029593405147, 201896812207084458045386379818380862847
64, 128, 1883379, 1528640, 12493710343326629831, 279869791087388160195379991170708550519, 16872796974883732359144828161838727104
80, 128, 2289836, 1570047, 1205943425901515596519339, 170708722871224042817839730707626362689, 63695939237861727631255903706049933765
96, 128, 2288587, 1800931, 44442377066999704607357726641, 316979729798482194378699244627933757291, 287670683271650483814206229155739563271
112, 128, 2824053, 1674474, 4274023237238779616543183174099687, 263493532575770763359887242683245703551, 218765918962477727777292412206293214019
16, 256, 3537020, 3568530, 52813, 112360066333271829524901923281226222282489490353861823108513982505998657157057, 47585838659047773824863381278066614969388476053418431596878698394078509529402
32, 256, 5338680, 3852122, 3335886889, 77730172890757848783693229986735561004152885383495287070550614283555259507253, 47594766803900954400780135915879117930090639118213059422050671191629361446687
48, 256, 4977588, 3759259, 172312888364779, 62044214005070103286903664468378122423454964692115408637588860878417903690287, 49091450333087363645325146921350271421889891294994701655636167085636600932180
64, 256, 5027900, 4000039, 17050473235147904663, 109540567991432567100113997900530390386455643752629643939965799767908906827287, 44647216125232022003220173234816331391577700582488725334218472408438901651275
80, 256, 6124980, 4012434, 1027435334847144379141273, 103276693128620894669537675272258661468338874738569339356151216674058480373849, 57885099319359501173889631597439812528401834625183423428059260857460534647760
96, 256, 5875710, 3952539, 55167846153090471956103107353, 58318809995514953634420935845520448663689126538793731979510200338459580577291, 40086478984480067253612171447751415996740750565262116632187971192768291416665
112, 256, 7143466, 4149257, 3858290735188434128110405869321577, 75588753586295366259171651931513820865487701621649960127516983543232454816007, 39578107231052994411527638079513818942701690585321391413411514218620643110180
128, 256, 6962060, 4153893, 196340208413562110294052965905068530359, 65635015030483755415846693374685004363975165417512738463855421471428325008219, 62974707211128709933038793259180261402466747756920275026178950316621971720794
144, 256, 8317681, 4393891, 13171281325517809331685896180454541537933567, 114089699377912251661029469073090986094481115224665389406314984490001346862839, 23165554551964338972165461027141708348598090330271216476226296037680861569851
160, 256, 8025286, 4548578, 885663608546696822105552308451091001363596334313, 60284924177580501007818869241481640153218032057242845792824503216770681735123, 59795111658263766248758985101588052467165655334683036864994258339910511750633
176, 256, 9366635, 4606234, 75262592155417873670175698040329348153352522880074157, 82003680144307136654922387087903166395472775223829455131045670437481966891419, 14113142886300104293301437430526651481991441163930873875608855283384119106065
192, 256, 9418614, 4588578, 3485619793208623675670394125496854198971833308990430273649, 82959165082495429503633905483281112389850548775003832291875846461376023767329, 9079282883062587868114879599847973425216062831160855484768633636298204807606
208, 256, 10458611, 4788161, 266879778633759177414473568015813782972041455819970790081510983, 83091914657603043253879725790890676702290846269189480936048752251246531786097, 18114388796976821391953572722942708512358540711281435599033598399082671717750
224, 256, 10478142, 4966546, 20914350949789490685185882123856247181781798055734046140451447457773, 97882376478811376256440464965268502543380722400433348922587454119017160723549, 16204457655907154778030935382658974849129318703250935776159912984645292739172
240, 256, 11551837, 5004827, 1749965426594720547022173513192460815635454060030151299194058351154427869, 105151922553223568229468362060708585489903163559091731265972578204167261792473, 17040114261808225914137043477785647082534370959852534452752274215631414901058
16, 384, 7409454, 6587165, 36497, 34656766840827570051037562009961089702157140204122422177002356754742493844011789114403106274902033590536985223659287, 17302274446770405812441059585509386760415679135119577730947867548364507758655137008825576539415158529867104713690497
32, 384, 10740277, 7112581, 2748731383, 33851402192834369367851930031978314215760126868820680935176622237102319054282842713945684553894402902694327450297747, 16172478456229427753407949036018918235260929775141475484067983074938064948326397590882330706371009029608072781727492
48, 384, 10578924, 6998519, 232079407715773, 23680522180635683093305926617094797172393389347679000125117970861132797349804315474837917835952197701390958114764289, 17370472972007675850436498526564821935749247940888815417950275181990048972190022891153219921620968556175069477233874
64, 384, 10557152, 7035810, 10564907507001378541, 29052746355662156613419554678311526785691282562929633295508915255912758541083337964669444896195713321818391003807563, 25039766843087165119331912887507056722593577938544464739778451647752646948865927755363272714943789964493129518801114
80, 384, 12726260, 7426903, 864439559177983572919879, 39250676082896149332594025325918570325478567701675813734039781411812607895058072436607490066169258800010470720886517, 550476920945909807846003247035211382631483359857625581510416691777087874657818673718191344381131855992398444237057
96, 384, 12216574, 7340913, 77387441968775215154788765219, 20344567983217956976558321294882159231399293964334378805312539852103237116115943907113952195677177123231416860249537, 3126451881564490000694144224910186367137845158863788002234101226261908386957194298184810969246774054493124026358077
112, 384, 14564223, 7784088, 4403925614385241946466694120571909, 30036011642817534038192028876759165835494236654617772082686889472008294935580260037521317856215430574566267164569407, 7368824851801743995801845373748305570090403563954198899416723559870656198289506826673685430719670858201806890491629
128, 384, 14670629, 8198150, 269925683157037490637289988743895667703, 36126355300397429728547873316936728406421268730637443804310295834377569980478532997826428077435549810455455121840359, 10439802871249480279948487402130837881597242986711411139170581609849715666269916978940688340928635840475635940578021
144, 384, 16672341, 8107629, 13030333347477732801121354719594887115366799, 25119963420956614702265614300777530064611508235780081298088286993091372339827522767220590750328662810025048767507121, 24407011921732737188231541672982540725001558538573066262692472919669203829937003690978106324529888587430349772471710
160, 384, 16341561, 8535128, 1224553637180696904019971562162064915843482970453, 32343277931357376807790174348308165601051729867518504376629369042227431839501080945216095185889451922762454999543717, 6353897616564596599743520263632536783874782333179327018214542274536009551534176614942918090113449733490080489595552
176, 384, 18689156, 8476534, 48736723651505212488024258974830119570627046114011769, 26722477800525495411490204868684498440762497452049305425800634049895279056637278371487531629945458386400939402104533, 2109986864084844438325386700996125716333311776440147994522475366874898275310136536871630326422852519520885406930289
192, 384, 18261814, 8877939, 5800151396936143905092928806992175598319068385960390062313, 24139268170818162982428278848693172292301824427793738175926631579337350740263912111919711042228481564675000445804999, 21608925169306283643984703805921253540216456921751716948611324152669230519328993904296993263491603859391586956263778
208, 384, 20745192, 8873668, 328286962714704761260687227278730505974026724624724453929619649, 30694498405458980589411524478685407031598992721497793992020158322160207203642022529097451619630184094411807280079143, 8977656624207762396548820683759674884300703300722781517844305122153717634740688083099748983972518667295431244777054
224, 384, 20778265, 9277261, 19723773359501769575209156211333821964642952747550847334036683229791, 29817345152164329060474090011666693329500677698967486646318707768535116645588374052751091474395866680600876574438321, 4741714255049324736721387837863718982813224483644399823101094013270081468489647422423499573086993776511705693281839
240, 384, 22843465, 9382261, 958766044930353139911723909731296088599380330775320432167983818322223831, 34278398900883680310073233112529322393018200545511678739704357975704934139672959772416838636228054810427864602400663, 32435724687043742643747425793895376969272199783642989640192767208931478865021369574935356285088923239859462470211290
256, 384, 22928310, 9340229, 59580283344663296828612010880994769224647411780274313487200195865595434540189, 38575469521417884437182898370133640255694498631709910601313766220730791315432700046995710722270234666061614235155449, 34456083207032911910119232496600331047322689383889818352572995453713395827362618657410987217253660641988592022782080
16, 512, 14792347, 10722986, 63781, 12647957717201442188746077493469163472229576045030779417280039073757826522155875877406741128978193947476167165611831278224717362528269064689757276849788053, 10046472353263002133838070367689296647218487453570207464665202888256019732811856698524212782192852044045477594599947820483920909361188325262020951059678387
32, 512, 18807750, 11193556, 2850223171, 10135777765491960911846589201912219257633078650235444215271932720347193833324513758296091922364446951810835970207732753685484307340072381139938007598550359, 916100642870557853295655422274093903717714253157300513682642956175874093083096332269061597066184128845657517297857821884132296022164373974213891234640768
48, 512, 19450457, 11613139, 220456121725517, 11841237410175190828493077932133587212018565789227234136577773656198919415943598680829350777612413967920079363906869281146768344979965358436689600762300317, 10317633092736257314910219068807869273589726743119304585787642631064732471394756665357146015923335443129299134487898706601737779288769395107695821131553068
64, 512, 18761397, 11473451, 17331417999712433147, 7137736004024697293157650115004980999302289664498703185992401869230815614488582756841582501321975683490026037553918931858351647208568189971491448646434431, 912036801647555418108231227706293683960256709647795974253907838836755286416338496495927186668878793170379175183444566007674143064357775312558227066916629
80, 512, 22887789, 12118762, 1115744553332224578938713, 8931607080502674500862182367409029025254501318051289658182071631095254412774319641872437048069188831728879714687287796377199982409325943643754311002892127, 3923830217378865224828756411593814133599252079786913873769163682627361195638350965489271553386392730458737014202112586030932181031379815213690494194305813
96, 512, 22159302, 12087200, 76623322754608470703848944929, 11506189500668386738863615927888348992423062375145933545579455142643180131059760939520182884200585081950202509642286429001882642613376944085869061792914633, 9402387633402798004562330267557510178554536002944563473923832095517302154766150023381659095799063243505812879591177454532545346391228616044640406737831051
112, 512, 26121111, 12703500, 5132056199425165674983777830210759, 8766876606363024348413538710155042378180788210838742650389820529108360644632372481045966896537643298274833222640521501677403800713560251664221020957387019, 5845473322712238702402150199120508461540826434212184661278668123034030139002735949949282360862383566946448737978617156380577611254982525904443065548860303
128, 512, 25477260, 13340893, 243961831466121506865807665743772197987, 8992944343933245111114553757621555890822660239720530376564559114769802524953404787826923785163187665872977516634632340884904963006549476404005458996182931, 8160332521691035201437120317572866250455206151113949531358665677671726716202212787402129079452535881408314700013613827396457955637839601433832135098788651
144, 512, 29483288, 13340008, 19971820406618262753866222134883117059827491, 9046432679217753838220944814864872430739409323602173351202617881299911799805110643741038593940581627358002380705901984647543377289650247130284745117634867, 1007705896733498296841256419604133774307806768415919894147415152822796443562419815000314414753732996952596104667602532205609207698482700678539391133522319
160, 512, 29505163, 13370269, 816533336052739756864574340448478946208112474777, 9173058675248661139081074041996470087142253695649304519239265868321148609323288139475586948147301998887720064681521745975276596395892664891297562818923577, 5178232759035688104096335930350274139772616463023090644819920964929469407174090773251814086664190576833753134594606293504606809839472268509434940792160933
176, 512, 32736715, 13883288, 95097802865457631541975617019290831676683306114185197, 7976111464722090665136464512685588107348057570792819023068932108220277041187233712766561086992043253871643419611625981593516810388434947064434958670472653, 4240829607538253057307020929121511747839471798308655270267669746351568026682570672433949000653528002360054324607701218355706587501827680518093204007144792
