N, L, Time Proof (ns), Time Verify (ns), Q, P, G
16, 128, 2956398, 2908742, 55343, 170442915534671691743660211772091495467, 91398357308735880567242736011008131785
32, 128, 5054049, 3358168, 3140993099, 179496740464600167620155674319150826623, 68343097525545834779887732822487992805
48, 128, 1897651, 1501454, 245453582016857, 199851662141413856521007107851057131117, 135510053571312625878558232608600594693
64, 128, 1770516, 1581662, 14104313279333816093, 174060229055499397269011485679305164311, 100678399869562272065502766916867419650
80, 128, 2276244, 1672600, 656288597463903991467229, 206323321727489035102686307029542508881, 142024859695651877532584399113741874214
96, 128, 2387441, 1581714, 71434060799157990820767302369, 189771404751505765400123685303693948977, 88400342227456015284131315886484431330
112, 128, 2751607, 1678641, 2631536227756150596783806510241187, 229775217262756045508774849248219484093, 93720950993032114247797547289179855833
16, 256, 3675094, 3535407, 58711, 72851659906181143680280598984670163672317381564884286711118497867061170940703, 27463736296611872349963570214525767112234696900396888249191136124644429408890
32, 256, 5258528, 3830355, 3752678003, 80480238147023438159374747787591771068226713874291423207068572671923846248173, 73158062782254663691444246062838541872734250256450319256144640912699704849709
48, 256, 5076757, 3793948, 166211103842503, 108931768925520926267726733159703055365887199100303543836779457089626674432193, 11775886265999242943688206382015401643812384454958311345301334722664792496826
64, 256, 5016393, 3788635, 13053943822599962407, 96350528608410172821389975917019843106287843814420981039427747529016002792261, 50805383408097698117493191385914613092042423210120667231030166196055077574962
80, 256, 6132015, 4007906, 861796578229665521500069, 102604967246089706305631481707684169346963855348890565471412946033231737179351, 67436557766112382493175860076669618930508591591680135453458688381114703780953
96, 256, 5892015, 4014989, 63505320577347056696511471467, 69710546922342104240455642018509728952237066064331998833705513334448412955861, 66085002888312274057355005837007073060947653547803027465476757288989169995118
112, 256, 7227481, 4207802, 3520928203564535597453049751832113, 94439410301008532626866814771096449812589919774494767245707515319553058292547, 73671526276915197335331915781007233711751737217516443292290731824559721581242
128, 256, 7005347, 4235145, 248954163260432180484781139476256021531, 82021653002543041770059115590550617579947352425482954753449774261590063368527, 60602952536742804076628015014187764291340513221959127249192837294541832427332
144, 256, 8292270, 4411394, 19198451898030448289859671769640375893144613, 100280385721898013834032442314675685033021318008048842825315355277191940701753, 38091162453930527463177536703693246797367803366054312900457797370625086759444
160, 256, 8299874, 4432227, 1135406041230393999589395659239995291522581413663, 91021705770046571779982747707473889079349245479572959275921799379297361413803, 90377108319464016325097645184085055809738298305896043074945791030492516442546
176, 256, 9457110, 4600821, 50303930975911293009955100949230746220046170070257291, 94206465032815558325757098449612013353992379366055535492421418091377166052031, 11604392757587172769944379919775006311688270436077068239482397780147729296404
192, 256, 9400652, 4579311, 3290861225087795518057371863548829875841140219286883469567, 106116418232875190101243768685320376713309384024798663987551394951508243902331, 53835959485478192727606178000309573181499907472021753863279010132968359942136
208, 256, 10488305, 4808425, 210692011538883619612772764971518145309537800253889953496458233, 99143006617801740528027450941900356966243448394273510891580419216607664115139, 57724357304190714752198286481926144684494881511973941442900486088207843138948
224, 256, 10516014, 4759935, 23703626295966299521391219091560221698315911518371845846426498488697, 66845266411968589427344033613240877401140322773901500553749542011438214956543, 53401985849201922276914275293067285920060387966650829187624733213868351450462
240, 256, 11832781, 4978529, 1150338320686336655509468079383112191471853124708434310040394707992942659, 97369236816174279868943416111304148334943535887820713739059169663354638428397, 23729165381738794433057387444483962918903145731852689815056212310732709734082
16, 384, 7809667, 6539671, 48413, 32473387785729466138154368139872295838024680008857912406657199216771913947045232464617570274101860750255296805969421, 23439833123320769084481649666217026290967103917932240421383831801838834638772893581913402248756481451479011780167544
32, 384, 10781273, 7157742, 3785647049, 35715778064022938716621608246540293961567252177547030976748849566644231760438128590244232136330923833337908250961043, 10331042162971105752406532159492828140546981699438852653784980805262764534803281626441200774725696230133679245844676
