N, L, Time Proof (ns), Time Verify (ns), Q, P, G
224, 384, 20843125, 8899666, 18422845430630006743957039471656118095357470049342504372060345703903, 36337311091550095798939319314488196786842213419185240593717875684247475046839781430610150446049603960435512221949979, 14435013444208117756427770044109302474003938556568899056768112102071439707668676569315228691780039177638450895128640
240, 384, 22642548, 9217425, 1557692549790078878320820295582964045201973463381424718357664615349047571, 20232212505460040819649377347132029322579407458010754911902246975960346641444576649468043773853735135581892780853743, 5341903159797990685709508616237414069358475901979773807567000624920804876605421533160113974830617043496209183166637
256, 384, 22447497, 9292372, 91976203915702094776269889781339299019574233931106702395216506065240391850923, 29254012459657495370275120218229766493103683290947473046384193783358520784369154083930305810034883501773618117709077, 22870947307686855180158963424523780491870156626796766382474352681502269333789465668981348208983406379199851455498886
16, 512, 14632359, 10722474, 54907, 7858838275226955609443115651484627755022432228348281310366607754540248740921548755364176452322006664384815728360690767763085425488875203939081535954231623, 5774400043860566399915760182716516150233605233697989231868662744697292246300878054643779791852578350065216720015495761235035699317854760163760285311090548
32, 512, 18763391, 11329712, 2333347333, 11193313800200870039818775192757368170192538858282678415095157569629178569776828770849564646486068016430911686806923084678662664260289078728392823776879043, 7692161956305307329898037237415721891425809390881591537851101724173648628041066770563747220189224527709130940430608425798007838562189720841043733881717725
48, 512, 19449536, 11512107, 167034100583149, 10795018321520757642133474183202677254423559327263989088325573527336439138548543681925249313678250492516989021355106542918410350795691688045819618597651743, 7785097430995752645889365575082014717893212097689894102852174954118841135067473582816521250014806040051518275449363481803564246591043002292497134591948966
64, 512, 18726152, 11413148, 16585315998125949631, 7580989813542501542456978755294781252677918396786082155016759852622466194705807927195431973713305529843167436581106989842404390397557961067541360145591439, 1040260778527433235190223150718954517579692658113729062177462130132877413277290029568551689078611041552190506885084987996681269850114290874298771488553280
80, 512, 22728798, 12055856, 710377258109881321621033, 7034642047242390947073064932771180149672632416324241893688252110892598526156204113228253636714260417354140749890127247958496976164549754284833017096917961, 1030603029990247538299702272604967338890729594376421497853019760333899466774514365968747690052674518043742124908060636996822188114349097203765687558417080
96, 512, 22139216, 12690593, 67547083951078916037439779203, 10929360552582738710463497824069635436262584437420718485188554601587622371813650387571679538973765939747263242930212251299503101883269073890489926705030899, 8855440344327250306893536890435363887851283650514085017756973110478321034861416665714957811059570161069048804340413621754885627124383928983227015198062472
112, 512, 26251341, 12754656, 3414447175175476620227401085441081, 11782068136430574871891045274429038714352759941585006266836555512152758045202491273611348547623870951502523808412010139123297894668521187137323760069545013, 11715864789644488741326029694055738502929442142082995694085383668844935080868484614142976569464040524043946318451324269092900411426519931939434192952284013
128, 512, 25434155, 12681375, 290678243780107087499579414681340761857, 7783933631030759586617303150827385900977010662737350753877536421289104500248304961526638327001227768631924610606055794234117868882825764714164972319740687, 4641346886721357176899453557717815909846292631466866444280373078378753245793397334014736968295967923794172766852224706572413697226488485381502487478532314
144, 512, 29484979, 13407519, 22030361409403887555577990702100830939424603, 13308652965337718777765204749774590096262212928259470978856824800644462903191197735273563850640550178849472820715509165999016115479805758574372948394968079, 6483406417782245411692819714900574905867250977256495075596133175182010004870369082874463851450575244738202386402842206937672538725886186225456792303766748
160, 512, 29490656, 13327936, 1251060978856035837061558258925381342961798436901, 13177701250122661266270878584175123831903706757093728131561983849117590460662142050423459895961754313682495311388697049041289853634012856953661838691969973, 5604163299024568911093332306714742387445385087680352786316204689358068795588336796848797458474193259898912789301684112954363989413232395794484066681029505
176, 512, 32734867, 13956423, 86996836762300158108815222820076322085755605704933043, 9776688451589356320478674426320207897806388527202784915702181746706048207072815883004059771117951021785665666113020597563281528173912531868823594992403437, 6460915337790205964735595464757661184187483990431402333576991039329563897824976305549089889641956145527058414794074011428732852419487447262107911210702133
192, 512, 32130806, 14517100, 5935991917881615088394657804379619813864576113237276050021, 8052371418838932642454238618234564626719527971445168352700260229550932683289295149331366884442367783032327016156085059670623111462481482483410183154690977, 2692270490289658105492776256428639594620700279625750656668271739942049505354745657964506222596049934934099614966128554411087265089155967789505580465995165
208, 512, 36138348, 14561110, 389509924549797502201479291531986497822859495231730932599048409, 11947113572551515065408203917823608554308066061573345477200413889588594545742762644227972844332292703814072966524779237051234529223804211637318485756444239, 4859384554957274685342847892217442120218186387967422201293341665850573408307858068848597177369333569354650491067384371720418217867522686135655587186909333
224, 512, 36168609, 14526631, 22081520668482263083514005395082552793540977152362909571711589574669, 12592545637380861268760918993597492194756795979844634329648273092529778936540755272144906719220508926173308692830001785019361493222742383297041977912392291, 6528133447803766640893636636636493598205093421811561003190846315260195721274530089158300277804420110403456860866393760496019077859410587486022524174103955
240, 512, 39662558, 15188244, 1242655567790394025399403133412170627888512266340034936119980782786400327, 11771620942808249882099882577538964665955949270800955715558660570018807379218212900005760964113816229088998264999054907587184297678923636298607129973498901, 9654279110277040578626449123958328291204734644540550476384538557488310163443022669181912062794018936112770166629500861377081650525758154835060993481048380
256, 512, 39533652, 15133609, 86319161769989239570698477919325273114125922005100289103663639091575508766769, 12330090311008845147774224075710100408689447835574860568508283107009874570022549553954208106928785498244123823683981523197271428886312738316196787567842637, 3991957691615491490858291574938910535447659694558189926443071019351595905256718009855248927520893041109032547235936028824652318932096840719750699216503696
16, 640, 23445046, 15055692, 48023, 3383001857622581043012460021220219030656885276531774105763361593086665755967731095641223872938010292598128086682289667258751118621164843889575547578994529126407303747502301870114841219065265803, 2042091680237020599466709978189154150538796853171797414129942917806803798079859489630795998768626246171013019309022077930694032178883448493056782686834586635950645915185921830118962301924094349
32, 640, 30328623, 16013398, 3093604697, 3458157682752855725169888009910669088430661340143981619239968609214400958241099658114180706705627020467778841945288671403272417573928182581331027873292999640498883140046774611795273879776937357, 1367309781880657439992064845615938104756768895952665271561119447016815299687955775198964096987045951615667150400452415535108950354820018390780955273319656257209169195361565390858178953944731684
48, 640, 30773518, 16153085, 217723327780339, 2950548058524345532721966397323216751101420938044773480462964059834607114024479933809877853960642198578409192389800392542232550152433643953256704898546041817336085127645957680619961127441840931, 1804398837558483837866943502555084905271211941729617765488366647361172073472936142504888871506308099865213504796598169145605932759632751231649704205961252625817637673713291808075121546562351022
64, 640, 29797739, 16174127, 13007765025513997967, 2431036812729911099146809776197209041293185451776722725085671201663451780338880673268418342051241316028859461246338021775925546403212819845009093372255236346546256519456168666807690822480009871, 344292466760299230032872178084994122636401395584238371159360133664464389977020886608675286377801467777941604458543080619207193681475201008690297267862799746410032498718852078760599463684876754
80, 640, 35432621, 17050687, 754151647493940504774689, 4004253091388042793824009066781538217081287239787739174145138589695557237221540322869885436192765390194210750185306911413190461619828939384925438950646298041899251957251993905021449631171863021, 585106715887849460275128450685105315392186346121767517050314048478727881779533399383077493253708149025685430616983539054436828773251823370559006433214752465063528965727551582005844283797290937
96, 640, 35439443, 17074958, 56501611643381494028391136109, 4105171214356442570545345794568501803627208773763612987843103021300196060755571913247366299921373976365528843317284370038725478227361451477214056212247953086383869896035180225096606081416519371, 2361464996605834465681880548468652229081807414337984832545616007004087522004462739609196380961868115889573789394792118827319184469179004904925479594693935310021582499580205180934399936250328316
112, 640, 40160890, 17919799, 3257048593226272529711751177989819, 3776096175666598737571184169995298449968815878468893540557948078566235300221334677311652014780959326957524266145236803281609282699450941915786842314783483104402995316380383560192203974033160921, 3262210527439442633465145033728454630020690019718676407144051420394515592784888092163259033922591558455172928940434054125334139301925430670086262880033640287188694583530077163850538805725966323
128, 640, 40160942, 18758548, 209116992756567493616547238901747521151, 3711343224825014531244228326247012985650242339934906346467849399442762619241677692105093902657623399294663710443535939564648816888220688814910919304610219269997507475345836612117599623636191041, 708892013647838785539983788186492228450931442155504114316716333690864370713649520073885495751578557661912199229899393819520311100392526400961956830470560063025947769899835933819703649049608742
144, 640, 45046035, 18851881, 12091079465431809668581272492480077392903103, 3868811895903608380572282466586464646552457485628348593256515781327802171823653608148936274681663360388183382516161348505439571072197812849336203656766700640694326696030232668666082367287813103, 977011381559260667267041506530359653767206534608660719047607559194452036814474052870458033184178140856095042142729066196799674064129800096043262486248103345305634499065543253560269740952097450
160, 640, 45146919, 19730419, 1344267436252633859999432102122536895013510649937, 4537937650432311565157440284679418130388608308049312605163104016838813326430023683250115076939597835003823366653900777149563011361079701490162340693874570962746158335822183546978095885926844087, 110155074321737014719105056639525946573639913627042681236424825239470916541720940410145156914027653782713842794539564924173236526689453354387829217676180453041620729982201405639305972595023937
176, 640, 49771856, 19741879, 68491863289385529111086318520444280653094655020719187, 4282606696676737111965927389961991765945138281187349199726712945468355076348755700309937051860100588068235179391537735389708991673525113356587373771731439595672136645134480278789359110258031779, 1632670542802105439173744927861278174391237057946881548126705262758267259243833384997431848871210940139310833543686249566510858612676012982643832255679209660409395701006018495940750226772443775
192, 640, 49693835, 19633337, 3251772326652639986015367247724825754698634429323749482749, 3188389323980272790092185939262658474439430497322006461550776471725871164746294302106369027680663331260172194996993226972590616134250880610972565924761205850698508095029416665352768127223217033, 2644988649686640267876986572721049490447798523553019383669938912089092339531648215061263837732614681834064344405196172979128726968369458572744490845244315247940300724623983668974901995923881895
208, 640, 54460750, 20591459, 232468186471921230901384502134093682292867073552946624189996713, 4258174037374598827472509392477789431992085300792342877660635735394217812853952822037541908260308436445662046114916833854870009905830709556655722425555052022524927576329829666171440321483172059, 1470538344577098173052717288492578940501878383685858958320566387197779314160756881479249100099141964416789640603317808860261880467026491248022249199382824544783592149151299681190404538359889077
224, 640, 54413406, 20519845, 17128504682150058155150653141215497852529231375248216404343124470753, 4445834150799496410591920787478096613403021768504222296939913610941460563521286321412546509890006812672892058268111712989170441724277674631050098698992457967283509058313853363647745344951191813, 847987137640544011143911794012891100573452693611172556015514625775257863410715140485505869404117524150249789223366943025850546770626158195803873464362860436411847907415196527653704354887080197
240, 640, 59164020, 21364999, 1436161671122750221532993863832428368215995136109905070401592837424646429, 4179139213012321740624807758976818707916906696816293446815876447214282135511786753460256246687681613312391652030871123296112741228431498985794935308630920219291954149866710364184725348305651083, 3103937238055229280818828821027439653120460558696269338982019176914410831616661906149684949872383711631260241375105898720186729871268328265879825810298673160711024286780279523538515101245511346
256, 640, 59399019, 21429999, 102941193300998880746314089974609148560639995333712326711827316289869498060219, 4158872923446246855738059796466262257355643931629338850992867726027318101362336041364010405808890983909008567481278798947756333407265578202079871337867071778882956538073474925578922077993001451, 1131657481800106650629734168356861695905133016281194069256545848087541395353702109883583877848717209356306636465593569289498282422471438016696617466422680684210476748640301262844007012800293810
16, 768, 36927148, 20883802, 49463, 1233475344445788788194984023995525807171008613299955883641591731005110102996625229500584456616896223337859274279556268943334461505926770296141535497681329543948447429038687718321795964617321582025751035341885672479456953221434344543, 1060479628888525999493091262599059001812473208002017301773879991681628908077640352068764753479686496644705351037019200425256434958902741684810985141493849407271420695613371930930698408253913293474094464491274561784994126822705051962
32, 768, 44460306, 22496350, 4181806553, 1470689347341651371536981114194141672639585864590296937658230112748360286480913391238388611096976979030593819225792354531149248860833351841460014849849812991242862121098900931255861195356138264915135677525853272286408878031870584389, 859321432127638886221755991922664096547858150311636965626358064634982546427044992106180583330462516871490350455324581488027284354623690819182250504940696911512100261356800947391832433255196966732157356497120609569221849271053545545
48, 768, 47901287, 22805621, 219249555902999, 1449336448954206214499774890454861410137839353228787089624090819207823969403772864773172315319334390742415064435778085368384135684207281757387521856274420259585381223652750222268015245938501703761175484933998729812088033547324274601, 154643830307494228497761273487607667694827698709174681947385822869470269960270843047960724907400396287900864794675341563990523380595032438945598091692703294349814018316234094548984088646537603487466003898394874109879747014941927685
64, 768, 47668528, 22683434, 9587863983476208139, 865557236454188376080475315765982724578184590631309204929849869146784145372713767239377099479676425693971849862728039506320905315037336766523227137338599716255641662895533078575124580333571361656938648615213525296122579876110221263, 522992729123076675584187081381832148278589265896066126487724045999018649773894569393011902794455283069065568588119077278766247422990554385790037494955311152009321634865995069650570173504914991839594955084898856904649304246975082304
80, 768, 54515803, 23988951, 756132105351224470581527, 1213226877464792775950834022736768396196723421014348779409562850094316632370759929472714344758091032241461848435775416699302406576962791508571568706176136364634192003887799405525627043835030004603185494468118718231423958695800666197, 460044206471929242963522642612179612227101377792998574463350665216628145094276691789052942561473572352773013861606053335621963593184875741674900899959498144108410283104113431067314206228899176232183777781988439317946532980423936287
96, 768, 53300544, 25172125, 61570464906197977968834561181, 1190939383280848541679505899872194758263669346312708715465037300333437665784214706700359847367723223260080189079034294942648134060542274561232304549937745120133232204509115923667702315992462030821044659058670661229145694882877946979, 797980290734282326084152781744337407493121013701402701773160672818037252916541474667049140091743932948361312938360867340809883572724906051926379645595539645544640082058892830195300285118718202497137912397161794603124915804977821295
112, 768, 61794482, 25274208, 3372099708925888998220758542450311, 1400250049429595973295597067113608061926136022659764800145631526138808551674473349006338167357194466012287027493020794247188327783066809615136389162801519321680445826082084865336242333712603564009400343853648512400109459441193256071, 1151261726534521455865139509631062233023833713814936532913462019796906690968873497095387686517636660872035337607067819363947644139356167339853606910479293609110299594880389685671820335080102686914462389629407597304258878535447531253
128, 768, 60884432, 25072750, 180003743684482764046890268985832719117, 828275675826923377596962268507834516388414465998386390743912701942391477379892214698179046601603621365363006768876736342026889835790102668210263504068660838168701347944918510980446728368215877481287476244965650276679922809889036307, 795793909539238568835526831837451351468345099415322326269281315438858274608360476234078719750391335758554253291155020661363726288308268880445850758756821084542064812942052597437894502678640793880390930723004472204899846040354614710
144, 768, 67484728, 26269987, 16233661348759449721838858183269049690204953, 801391789008940382794596324496822035154113194425692240193309810018951323155297970347091649691334328061844827868870411107359305477995256082242568660956751837195402659359345134854356698256937512589422664194539069790332668073079896939, 775309933566588854110870993775534296917989183081460200542155781530091888556039843301791707486108428371380281214712058439527920064678565532451156782716832483594580881183257090253093068636760424350680812235553975926279781027508386688
160, 768, 66815876, 26481081, 1299322050568519860423677588493298228038234323857, 1367249743418177280316252510163138268020756109340796230001785926602535368973522878363106742562737817605504482953997868485858616379669436037853007118053849337833527084102115605033449743598701065290584536289042347434462471821368397437, 1097249762469748680039084082121581922991584376222882518871786577854638283657923231125060504929743542467284127434252695087720317303955299103169505474762943369347917155699139347712877601676397897507566527845021225849416235941623851199
176, 768, 74483825, 27579047, 70389411620657717408507376610367997235908206528153861, 844330952311468947728419640230309986297170767252062566585720408538598386177785052988095080201503553316427264578191396075084511502822541871186167295480121917827553692833696348867712029089140018494279709982050529008821054269519764947, 67952436174512454933474190873990321611807156975423216128595384911181316701587696801473113721344005772566504793708467540315483364579743672174931275144779375560111862686410624610678193917002881904401069290857364231626987244461742245
192, 768, 73102423, 28780085, 4843369674729355122392176953724496944846005540409235976857, 930078368963399772754973852676454279707078100601984179167169200949651692826804798901764430576274674135450672841042866658883755575957449095468180887350931660112656643862766175763840610104447934082571955541692332699414533082063076581, 278836682042861860743014709702708803036011821188679766061654119435264050390491996063981075248282244062440965314063628982971734332278996981575263605701357658575395600037495771580807077168151711038702120401901674499893351287638081029
208, 768, 81158444, 28884512, 266997785807267685208015179333352848763482552358570695274982783, 1020358602487108905643807213011005870912829734120042039559129102778877769310637377688061157845392931052019499758689790203973913902811144195155869068655130952651036075017763122171899923990624701221871280210738521466563894073813907057, 451699365602140808456565788530169937332692594312731470124765790677247596973214012544504143559064341611496261322688014710292481542240618975840780584874399908394563273637561205853753253496060848094233935916362610686511959385347429344
224, 768, 81049278, 28778887, 18969652038314682830566426064203813127698431255041430537483963540433, 1373426564028877571599196205831445300586690245377993370194850826891455829109654643057265116745383712502639466317213974328511682083113475496178073374864898867324809471173279522285863634278191827279802778208067406463417143639692406697, 319851773800864570592826077177365454578584130661550852657827235417549918665964822077274730432037391907472236599884653814934166930946878049430958716913979090398233263281669053433701358612354723062002567438416386290237028925961002820
240, 768, 87623428, 29971696, 1472678502609993862295164800481002150052454893971165135006473219316076001, 1182711866123413529579782008466208607197964344684191209141565299897942114851368753724576396961006475139000881853103633281643345789292435070531555047381701302966036872291855254659820741414438174936587681361156793421523603979803466901, 361530387543344307722533825151516823998186485683363251257622313335804387046829781415912059697961569980266998375614371965399247733085289895018895923178303512214939812264690278411631658694508986361238149205880654148377666212530593942
256, 768, 86231504, 29892321, 72338632167254232971054425505333741970057523994283184741655894390368724763773, 847090944124839677359845007440405668431919896207997190491510522527467501224319981309279028180782090217492144815460577369036049531664542360965446675803804093980775653638634426635933217672731323569371348459437755873397655162499864549, 64736234668682109588565095071867686039110428521480259855896070478601283926028588290269372000858500241469928183732180213480813668905893446619907959710051122123140821621491273204299112264530342530881209307231306284096089502590056953
16, 896, 53902470, 27071183, 55603, 503057362146863846732699654598486032310529793640829539027267620515370820040223890193246373259652948285392704814422731503845036191273699337132228970309434103043094990142566139345580949752938699022959709601458797189551695672246827763001764490444394379555836045189531858429, 193249565527180723239334685042645252260746188439675208534708626955958024581473906335363968854700663382468041374934773710745377159856999632131737720003580591658250057837620782193213876442636100430799018876261343614423686684485317552879071574259721475955036296497980527258
32, 896, 63690154, 28526335, 2245997189, 421859467806837585562660917827175170213532161743482771780072967117957887730517901178326677895584851340569027228894513244176985653612663289601672231760731916175155640300488856836883244755554464403458969388105949993263337080659983567127920685349753107787806286676543496631, 217964753258582478456578835252435673903147248680818321957236471357030158993904549500712790408861464850238420997589056400118162605659166891398252072712963390398243774568615172186469371439615856853617975835366064620178448261240371293821805734705292880945942748341619654069
48, 896, 68266862, 29029459, 244842599131639, 319488759983106066573466542789709719088945185041377697373787366254487121818014853869969833587111647522030889932126875919210146005976386355491757039529435227861356176999476413157677807332623661346818967855065306874371246307398711690432545262432693139990439387649386565071, 234790590526129095186271918377162104522165691668708402669247770585790990063435998085462657373972270040192661242040164551539425430234219175411069863646736829134719816791120438672990218944619593380665582798296310739479742896521143534783419079761653220691032384276141742873
64, 896, 67600561, 29227688, 15330866226373512043, 490167201236857783038096317419889650740284719146118452910031585946868658156022184044435214853873764233812343511535279286852952509275270683134084951066776850323229267482859113498960204173858210325247559821928790114610560446630660233138289854857813471466718590286778108431, 296292973482807300706693281804015384076370824466698454811171809620476429038616091040725398144888432692011379339950629233574902979677585496255219386199294449431559473114083038576639861921468055068392392826518241444537782582530499811010829718338602614919401720882027069098
80, 896, 75773874, 30626538, 659987004099993599719009, 392582693595872608917821925225610810562270200548989242286877808857884812422333755353748727349872112116307826230381543602831000560626226561552483828903119436263208932606338153918912251259583187320228563849653745824338530171460086667253358106190784219603531752471787119401, 99128678516719613950358639347191145722817256847381100650799303330531862747945346904949997593226755947257849954394642150012022718630971875935274371319291345084805683285643185765571396033432151489465143617002546388176353761534145993243281515573983438254349961979851875047
96, 896, 76095176, 30771747, 54311677587691444613631108089, 426084036437558933194123131610685128861011575674501121922618694987760616355630255477222192350577627332720417972469278844479463971799439456278138999890407457488112533692394858830976031277131947087192211084757458708657158522680732590576448432713897601414937058642095370041, 277623845593681939047743595451063390828333841115005024433513255435520012252805433957505477748279745366172612062349287852834242520031775411858214213802782562916598635341536258034436014998653481589717294859418744111333566887124379585975489553394489875135697483240722022822
112, 896, 84169113, 32134920, 3140097554414207903009647035671611, 327867695591086353696505098687880400396800269887608886519877542615772246178609380547851190591873261550199736542823075563407394225704441739356734267361722705584065618752881321296562798494357777441040179632501518137485320163505331037181532624993362589520853667098418178261, 52935189165386440905972319936951490131363740845784667113761236877072664712874892431919295945508527823195286436037742976281471768735958224148253162517825094732041978105334635164411508350635491466049538541584403306985243356391866209937209950299861862124031195611203142664
128, 896, 84487655, 32274868, 190762744611286826861837725915278903709, 334191691927946933366049154297553504632358080940060390865645482386314749059509551041318660488053581794354080538245002869820496839047647983471724316480722401964828008404435108500669509282796514734263634343562889913601408244448555266898067622667142668833748121549347236801, 12779286686842713485563655329983004541603499641851445699348244844133844399979154551713919523226269641825449461722787123255985044884190255127190614495424350153609246213225469469795431678882651590900058831021114882401812729005540366815368208607846531158287503589036970095
144, 896, 92915081, 33775436, 19135562381261332068283877266466104722525571, 372643011527243439979846930379483752766121628520549720727250141550057841833630205697533508380442551036746489629692496954042740494741944091833629523899822104806016177675843459015448665324247108500017616690080354510353244889821158095739213791742073814624574627557308160981, 368479021766575427915945540586464235775540036167258022673725317383097970568835293247464226676789801943259334990709811046632505159532720156669187330882752730152995977738853981332046454164840739832392881891321486548189369809221031830682841354831796934915595145746519799282
160, 896, 92687894, 33669968, 883335825863150955003528055129129864097203270991, 335922144661130103869781184757560692777344998143961402994784981527958613714712203690006988607987161771219989464395270285241971099691206025572378222821583765671426198880273691008888831808286557572523859011329316042849687218890206505872362903201077267159310725928716471687, 12363636363271119974228195139472104570181034686314609738241318298113523604931852686644819755971020027358924470032561816040584496777042333535546388602606750843810476046525067618698842840067142283190892145917109108080982292465923375416703515860934196592963718705463318349
176, 896, 101160686, 35238193, 63348927958046133017693733511363739665808798816159509, 311953953979022711319113465405345899067032883780092048976102680312295020922730990400330732546997667863448640291984832179452932383821266994704801568639901122455755046681470555625737448323109624950071579733512986383491532200702884920572449694952289238666333676105605000481, 151797379552920370083944716071802240182871199124011194082697416815035016247133730778072978543539983997630668355037378697808420156366093145556994310543541623103831957166020897641356088894917068295386928382248413464863588500317914822132436784923713163343495023578393333622
192, 896, 99543398, 35187829, 5038539972403115338532847450870968725636867504167302760823, 300645333709212530880175439876772326884793749106565829019185348729855034730683349759833451142721531450215822437543611648219899097794393969440482144638502908612915459399155782192966378835021080198029089042574183717041975620909814785268652428558755589990532897217185275169, 47681979499263753646155010933898415177316631983803387159029476734677864941609640142382091157674988094007418676805676015636391269017720292081778185363823559884857383786589733003968344496551901210110879159485608079840686440543565405358243464164026042613763851229765828563
